Time,PrimT,HwActive,ChActive,ActPow,HwTOutlet,PrimTSet,HwTSet
2017-11-28T00:58:06.952Z,,,,,32.9,,0
2017-11-28T00:58:17.079Z,,,,,32.9,,0
2017-11-28T00:58:26.952Z,,,,,32.9,,0
2017-11-28T00:58:36.957Z,,,,,32.9,,0
2017-11-28T00:58:46.958Z,,,,,32.9,,0
2017-11-28T00:58:56.958Z,47.1,,,,32.9,,0
2017-11-28T00:59:06.955Z,,,,,32.9,,0
2017-11-28T00:59:17.087Z,,,,,32.9,,0
2017-11-28T00:59:26.960Z,,,,,32.9,,0
2017-11-28T00:59:36.956Z,,,,,32.9,,0
2017-11-28T00:59:46.956Z,,,,,32.9,,0
2017-11-28T00:59:56.975Z,,,,,32.9,,0
2017-11-28T01:00:06.955Z,,,,,32.8,,0
2017-11-28T01:00:17.500Z,,,,,32.8,,0
2017-11-28T01:00:26.953Z,,,,,32.8,,0
2017-11-28T01:00:36.958Z,,,,,32.8,,0
2017-11-28T01:00:46.976Z,,,,,32.8,,0
2017-11-28T01:00:56.969Z,,,,,32.8,,0
2017-11-28T01:01:06.955Z,47,,,,32.8,,0
2017-11-28T01:01:17.120Z,,,,,32.8,,0
2017-11-28T01:01:26.962Z,,,,,32.8,,0
2017-11-28T01:01:36.960Z,,,,,32.7,,0
2017-11-28T01:01:46.955Z,,,,,32.7,,0
2017-11-28T01:01:56.955Z,,,,,32.7,,0
2017-11-28T01:02:06.954Z,,,,,32.7,,0
2017-11-28T01:02:17.406Z,46.9,,,,32.7,,0
2017-11-28T01:02:26.961Z,,,,,32.7,,0
2017-11-28T01:02:36.954Z,,,,,32.7,,0
2017-11-28T01:02:46.958Z,,,,,32.6,,0
2017-11-28T01:02:57.325Z,,,,,32.6,,0
2017-11-28T01:03:06.960Z,,,,,32.6,,0
2017-11-28T01:03:22.326Z,,,,,32.6,,0
2017-11-28T01:03:26.957Z,46.8,,,,32.6,,0
2017-11-28T01:03:36.956Z,,,,,32.6,,0
2017-11-28T01:03:46.962Z,,,,,32.6,,0
2017-11-28T01:03:56.966Z,,,,,32.5,,0
2017-11-28T01:04:06.959Z,,,,,32.5,,0
2017-11-28T01:04:17.067Z,,,,,32.5,,0
2017-11-28T01:04:26.967Z,46.7,,,,32.5,,0
2017-11-28T01:04:36.963Z,,,,,32.5,,0
2017-11-28T01:04:46.959Z,,,,,32.5,,0
2017-11-28T01:04:56.964Z,,,,,32.4,,0
2017-11-28T01:05:06.963Z,,,,,32.4,,0
2017-11-28T01:05:17.126Z,46.6,,,,32.4,,0
2017-11-28T01:05:26.958Z,,,,,32.4,,0
