Time,HwTOutlet,PrimT,HwTSet,ChActive,ActPow,PrimTSet,HwActive
2018-01-30T00:54:17.270Z,23.9,,0,,,,
2018-01-30T00:54:27.274Z,23.9,,0,,,,
2018-01-30T00:54:37.280Z,23.9,40.4,0,,,,
2018-01-30T00:54:47.383Z,23.9,,0,,,,
2018-01-30T00:54:57.289Z,23.9,,0,,,,
2018-01-30T00:55:07.283Z,23.9,,0,,,,
2018-01-30T00:55:17.286Z,23.9,,0,,,,
2018-01-30T00:55:27.271Z,23.9,,0,,,,
2018-01-30T00:55:37.270Z,23.9,,0,,,,
2018-01-30T00:55:47.360Z,23.9,,0,,,,
2018-01-30T00:55:57.270Z,23.8,,0,,,,
2018-01-30T00:56:07.270Z,23.8,40.3,0,,,,
2018-01-30T00:56:17.270Z,23.8,,0,,,,
2018-01-30T00:56:27.270Z,23.8,,0,,,,
2018-01-30T00:56:37.271Z,23.8,,0,,,,
2018-01-30T00:56:47.361Z,23.8,,0,,,,
2018-01-30T00:56:57.271Z,23.8,,0,,,,
2018-01-30T00:57:07.276Z,23.8,,0,,,,
2018-01-30T00:57:17.270Z,23.8,,0,,,,
2018-01-30T00:57:27.272Z,23.8,40.2,0,,,,
2018-01-30T00:57:37.271Z,23.8,,0,,,,
2018-01-30T00:57:47.372Z,23.8,,0,,,,
2018-01-30T00:57:57.270Z,23.8,,0,,,,
2018-01-30T00:58:07.277Z,23.7,,0,,,,
2018-01-30T00:58:17.270Z,23.7,,0,,,,
2018-01-30T00:58:27.271Z,23.7,,0,,,,
2018-01-30T00:58:37.272Z,23.7,,0,,,,
2018-01-30T00:58:47.360Z,23.7,,0,,,,
2018-01-30T00:58:57.271Z,23.7,,0,,,,
2018-01-30T00:59:07.275Z,23.7,40.1,0,,,,
2018-01-30T00:59:17.271Z,23.7,,0,,,,
2018-01-30T00:59:27.271Z,23.7,,0,,,,
2018-01-30T00:59:37.272Z,23.7,,0,,,,
2018-01-30T00:59:47.429Z,23.7,,0,,,,
2018-01-30T00:59:57.275Z,23.7,,0,,,,
2018-01-30T01:00:07.271Z,23.7,,0,,,,
2018-01-30T01:00:17.366Z,23.7,,0,,,,
2018-01-30T01:00:27.271Z,23.7,,0,,,,
2018-01-30T01:00:37.276Z,23.7,40,0,,,,
2018-01-30T01:00:47.362Z,23.6,,0,,,,
2018-01-30T01:00:57.272Z,23.6,,0,,,,
2018-01-30T01:01:07.271Z,23.6,,0,,,,
2018-01-30T01:01:17.271Z,23.6,,0,,,,
2018-01-30T01:01:27.271Z,23.6,,0,,,,
2018-01-30T01:01:37.277Z,23.6,,0,,,,
2018-01-30T01:01:47.531Z,23.6,40,0,,,,
2018-01-30T01:01:57.274Z,23.6,39.9,0,,,,
2018-01-30T01:02:07.305Z,23.6,,0,,,,
2018-01-30T01:02:17.277Z,23.6,,0,,,,
2018-01-30T01:02:27.277Z,23.6,,0,,,,
2018-01-30T01:02:37.271Z,23.6,,0,,,,
2018-01-30T01:02:47.361Z,23.6,,0,,,,
2018-01-30T01:02:57.271Z,23.6,,0,,,,
2018-01-30T01:03:07.275Z,23.4,,0,,,,
2018-01-30T01:03:17.272Z,23.4,,0,,,,
2018-01-30T01:03:27.271Z,23.4,,0,,,,
2018-01-30T01:03:37.272Z,23.4,39.8,0,,,,
2018-01-30T01:03:47.361Z,23.4,,0,,,,
2018-01-30T01:03:57.272Z,23.4,,0,,,,
2018-01-30T01:04:07.273Z,23.4,,0,,,,
