Time,HwTSet,ChActive,HwTOutlet,ActPow,HwActive,PrimT,PrimTSet
2017-12-14T01:17:28.468Z,0,,22.2,,,,
2017-12-14T01:17:38.467Z,,,,,,42.2,
2017-12-14T01:17:48.547Z,0,,22.2,,,,
2017-12-14T01:17:58.467Z,0,,22.2,,,,
2017-12-14T01:18:08.467Z,0,,22.2,,,,
2017-12-14T01:18:18.468Z,0,,22.2,,,,
2017-12-14T01:18:28.467Z,0,,22.2,,,,
2017-12-14T01:18:38.476Z,0,,22.2,,,,
2017-12-14T01:18:48.547Z,0,,22.1,,,42.1,
2017-12-14T01:18:58.467Z,0,,22.1,,,,
2017-12-14T01:19:08.469Z,0,,22.1,,,,
2017-12-14T01:19:18.467Z,0,,22.1,,,,
2017-12-14T01:19:28.468Z,0,,22.1,,,,
2017-12-14T01:19:38.469Z,0,,22.1,,,,
2017-12-14T01:19:48.557Z,0,,22.1,,,42,
2017-12-14T01:19:58.467Z,0,,22.1,,,,
2017-12-14T01:20:18.468Z,0,,22.1,,,,
2017-12-14T01:20:28.468Z,0,,22.1,,,,
2017-12-14T01:20:48.547Z,0,,22,,,,
2017-12-14T01:20:58.470Z,0,,22,,,41.9,
2017-12-14T01:21:08.611Z,0,,22,,,41.9,
2017-12-14T01:21:18.468Z,0,,22,,,,
2017-12-14T01:21:28.468Z,0,,22,,,,
2017-12-14T01:21:38.467Z,0,,22,,,,
2017-12-14T01:21:48.548Z,0,,22,,,,
2017-12-14T01:22:08.468Z,0,,22,,,,
2017-12-14T01:22:18.467Z,0,,22,,,,
2017-12-14T01:22:28.468Z,0,,22,,,41.8,
2017-12-14T01:22:48.550Z,0,,21.9,,,,
2017-12-14T01:22:58.468Z,0,,21.9,,,,
2017-12-14T01:23:08.468Z,0,,21.9,,,,
2017-12-14T01:23:18.658Z,0,,21.9,,,41.7,
2017-12-14T01:23:28.468Z,0,,21.9,,,,
2017-12-14T01:23:38.471Z,0,,21.9,,,,
2017-12-14T01:23:48.560Z,0,,21.9,,,,
2017-12-14T01:23:58.468Z,0,,21.9,,,,
2017-12-14T01:24:08.468Z,0,,21.9,,,,
2017-12-14T01:24:18.468Z,0,,21.9,,,,
2017-12-14T01:24:28.471Z,0,,21.9,,,,
2017-12-14T01:24:38.469Z,0,,21.9,,,,
2017-12-14T01:24:48.549Z,0,,21.9,,,41.6,
2017-12-14T01:24:58.468Z,0,,21.9,,,,
2017-12-14T01:25:08.468Z,0,,21.7,,,,
2017-12-14T01:25:18.469Z,0,,21.7,,,,
2017-12-14T01:25:28.468Z,0,,21.7,,,,
2017-12-14T01:25:38.468Z,0,,21.7,,,,
