Time,HwTSet,ActPow,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive
2018-01-19T01:11:28.903Z,0,,,,21.7,,
2018-01-19T01:11:38.901Z,0,,37.3,,21.7,,
2018-01-19T01:11:48.901Z,0,,,,21.7,,
2018-01-19T01:11:58.901Z,0,,,,21.7,,
2018-01-19T01:12:08.901Z,0,,,,21.7,,
2018-01-19T01:12:18.901Z,0,,,,21.7,,
2018-01-19T01:12:28.901Z,0,,,,21.7,,
2018-01-19T01:12:38.901Z,0,,,,21.7,,
2018-01-19T01:12:48.902Z,0,,,,21.7,,
2018-01-19T01:12:58.901Z,0,,,,21.7,,
2018-01-19T01:13:08.901Z,0,,37.2,,21.7,,
2018-01-19T01:13:18.901Z,0,,,,21.7,,
2018-01-19T01:13:28.901Z,0,,,,21.7,,
2018-01-19T01:13:38.901Z,0,,,,21.7,,
2018-01-19T01:13:48.901Z,0,,,,21.7,,
2018-01-19T01:13:58.903Z,0,,,,21.7,,
2018-01-19T01:14:08.903Z,0,,,,21.6,,
2018-01-19T01:14:18.901Z,0,,,,21.7,,
2018-01-19T01:14:28.902Z,0,,,,21.7,,
2018-01-19T01:14:38.902Z,0,,,,21.6,,
2018-01-19T01:14:48.901Z,0,,,,21.6,,
2018-01-19T01:14:58.901Z,0,,37.1,,21.6,,
2018-01-19T01:15:08.902Z,0,,,,21.6,,
2018-01-19T01:15:18.901Z,0,,,,21.6,,
2018-01-19T01:15:28.901Z,0,,,,21.6,,
2018-01-19T01:15:38.902Z,0,,,,21.6,,
2018-01-19T01:15:48.936Z,0,,,,21.6,,
2018-01-19T01:15:58.901Z,0,,,,21.6,,
2018-01-19T01:16:08.901Z,0,,,,21.6,,
2018-01-19T01:16:18.902Z,0,,,,21.6,,
2018-01-19T01:16:28.902Z,0,,37.1,,21.6,,
2018-01-19T01:16:38.902Z,0,,36.9,,21.6,,
2018-01-19T01:16:48.901Z,0,,,,21.6,,
2018-01-19T01:16:58.901Z,0,,,,21.6,,
2018-01-19T01:17:08.901Z,0,,,,21.6,,
2018-01-19T01:17:18.902Z,0,,,,21.6,,
2018-01-19T01:17:28.903Z,0,,,,21.6,,
2018-01-19T01:17:38.903Z,0,,,,21.6,,
2018-01-19T01:17:48.902Z,0,,,,21.6,,
2018-01-19T01:17:58.902Z,0,,,,21.6,,
2018-01-19T01:18:08.903Z,0,,,,21.6,,
2018-01-19T01:18:18.902Z,0,,,,21.6,,
2018-01-19T01:18:28.902Z,0,,36.8,,21.6,,
2018-01-19T01:18:38.903Z,0,,,,21.6,,
2018-01-19T01:18:48.902Z,0,,,,21.6,,
2018-01-19T01:18:58.902Z,0,,,,21.6,,
2018-01-19T01:19:08.938Z,0,,,,21.6,,
2018-01-19T01:19:18.902Z,0,,,,21.5,,
2018-01-19T01:19:28.902Z,0,,,,21.5,,
2018-01-19T01:19:38.902Z,0,,,,21.5,,
2018-01-19T01:19:48.903Z,0,,,,21.5,,
2018-01-19T01:19:58.903Z,0,,,,21.5,,
2018-01-19T01:20:08.903Z,0,,36.7,,21.5,,
2018-01-19T01:20:18.902Z,0,,,,21.5,,
2018-01-19T01:20:28.902Z,0,,,,21.5,,
2018-01-19T01:20:38.902Z,0,,,,21.5,,
2018-01-19T01:20:48.902Z,0,,,,21.5,,
2018-01-19T01:20:58.902Z,0,,,,21.5,,
2018-01-19T01:21:08.903Z,0,,,,21.5,,
2018-01-19T01:21:18.902Z,0,,,,21.5,,
2018-01-19T01:21:28.902Z,0,,,,21.5,,
2018-01-19T01:21:38.902Z,0,,,,21.5,,
2018-01-19T01:21:48.902Z,0,,,,21.5,,
2018-01-19T01:21:58.902Z,0,,36.6,,21.5,,
2018-01-19T01:22:08.902Z,0,,,,21.5,,
2018-01-19T01:22:18.902Z,0,,,,21.5,,
2018-01-19T01:22:28.903Z,0,,,,21.5,,
2018-01-19T01:22:38.902Z,0,,,,21.5,,
2018-01-19T01:22:58.903Z,0,,,,21.5,,
2018-01-19T01:23:08.903Z,0,,,,21.5,,
2018-01-19T01:23:18.903Z,0,,,,21.5,,
2018-01-19T01:23:28.903Z,0,,,,21.5,,
2018-01-19T01:23:38.903Z,0,,36.5,,21.3,,
2018-01-19T01:23:48.903Z,0,,,,21.5,,
2018-01-19T01:23:58.902Z,0,,,,21.5,,
2018-01-19T01:24:08.903Z,0,,,,21.5,,
2018-01-19T01:24:18.903Z,0,,,,21.3,,
