Time,ChActive,HwTSet,HwTOutlet,PrimTSet,HwActive,ActPow,PrimT
2017-12-08T10:45:57.322Z,,0,20.5,,,,
2017-12-08T10:46:07.315Z,,0,20.5,,,,
2017-12-08T10:46:17.315Z,,0,20.5,,,,
2017-12-08T10:46:27.316Z,,0,20.5,,,,
2017-12-08T10:46:37.330Z,,0,20.5,,,,
2017-12-08T10:46:47.315Z,,0,20.5,,,,
2017-12-08T10:46:57.321Z,,0,20.5,,,,
2017-12-08T10:47:07.316Z,,0,20.5,,,,
2017-12-08T10:47:17.339Z,,0,20.5,,,,
2017-12-08T10:47:27.323Z,,0,20.5,,,,
2017-12-08T10:47:37.322Z,,0,20.5,,,,
2017-12-08T10:47:47.322Z,,0,20.5,,,,
2017-12-08T10:47:57.319Z,,0,20.4,,,,
2017-12-08T10:48:07.411Z,,0,20.4,,,,19.5
2017-12-08T10:48:17.315Z,,0,20.4,,,,19.6
2017-12-08T10:48:27.315Z,,0,20.4,,,,19.5
2017-12-08T10:48:37.316Z,,0,20.4,,,,19.3
2017-12-08T10:48:47.316Z,,0,20.4,,,,
2017-12-08T10:48:57.316Z,,0,20.4,,,,
2017-12-08T10:49:07.316Z,,0,20.4,,,,
2017-12-08T10:49:17.316Z,,0,20.4,,,,
2017-12-08T10:49:27.321Z,,0,20.4,,,,
2017-12-08T10:49:37.322Z,,0,20.4,,,,19.2
2017-12-08T10:49:47.320Z,,0,20.4,,,,
2017-12-08T10:49:57.316Z,,0,20.4,,,,19.3
2017-12-08T10:50:07.316Z,,0,20.4,,,,19.2
