Time,HwActive,PrimT,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet
2017-11-08T01:09:08.412Z,,,,0,23,,
2017-11-08T01:09:18.411Z,,,,0,23,,
2017-11-08T01:09:28.600Z,,,,0,23,,
2017-11-08T01:09:38.410Z,,,,0,23,,
2017-11-08T01:09:48.412Z,,,,0,23,,
2017-11-08T01:09:58.412Z,,38.2,,0,23,,
2017-11-08T01:10:08.413Z,,,,0,23,,
2017-11-08T01:10:18.410Z,,,,0,23,,
2017-11-08T01:10:28.491Z,,,,0,23,,
2017-11-08T01:10:38.415Z,,,,0,23,,
2017-11-08T01:10:48.414Z,,,,0,23,,
2017-11-08T01:10:58.411Z,,,,0,23,,
2017-11-08T01:11:08.410Z,,,,0,23,,
2017-11-08T01:11:18.412Z,,,,0,23,,
2017-11-08T01:11:28.500Z,,,,0,23,,
2017-11-08T01:11:38.411Z,,38.1,,0,23,,
2017-11-08T01:11:48.410Z,,,,0,23,,
2017-11-08T01:11:58.415Z,,,,0,23,,
2017-11-08T01:12:08.412Z,,,,0,23,,
2017-11-08T01:12:18.414Z,,,,0,22.8,,
2017-11-08T01:12:28.603Z,,,,0,22.8,,
2017-11-08T01:12:38.411Z,,,,0,22.8,,
2017-11-08T01:12:48.414Z,,,,0,22.8,,
2017-11-08T01:12:58.411Z,,,,0,22.8,,
2017-11-08T01:13:08.415Z,,,,0,22.8,,
2017-11-08T01:13:18.410Z,,38,,0,22.8,,
2017-11-08T01:13:28.502Z,,,,0,22.8,,
2017-11-08T01:13:38.412Z,,,,0,22.8,,
2017-11-08T01:13:48.410Z,,,,0,22.8,,
2017-11-08T01:13:58.415Z,,,,0,22.8,,
2017-11-08T01:14:08.410Z,,,,0,22.8,,
2017-11-08T01:14:18.415Z,,,,0,22.8,,
2017-11-08T01:14:28.500Z,,,,0,22.8,,
2017-11-08T01:14:38.413Z,,37.9,,0,22.8,,
2017-11-08T01:14:48.410Z,,38,,0,22.8,,
2017-11-08T01:14:58.411Z,,37.9,,0,22.8,,
2017-11-08T01:15:08.417Z,,,,0,22.8,,
2017-11-08T01:15:18.416Z,,,,0,22.8,,
2017-11-08T01:15:28.728Z,,,,0,22.8,,
2017-11-08T01:15:38.412Z,,,,0,22.8,,
2017-11-08T01:15:48.411Z,,,,0,22.8,,
2017-11-08T01:15:58.411Z,,,,0,22.8,,
2017-11-08T01:16:08.410Z,,,,0,22.7,,
2017-11-08T01:16:18.411Z,,,,0,22.8,,
2017-11-08T01:16:28.491Z,,,,0,22.7,,
2017-11-08T01:16:38.418Z,,37.8,,0,22.7,,
2017-11-08T01:16:48.411Z,,,,0,22.7,,
2017-11-08T01:16:58.417Z,,,,0,22.7,,
2017-11-08T01:17:08.411Z,,,,0,22.7,,
