Time,HwActive,ActPow,ChActive,PrimT,HwTSet,PrimTSet,HwTOutlet
2017-11-25T01:07:56.331Z,,,,52.7,0,,31.3
2017-11-25T01:08:06.241Z,,,,52.4,0,,31.3
2017-11-25T01:08:16.241Z,,,,52.1,0,,31.4
2017-11-25T01:08:26.242Z,,,,51.5,0,,31.4
2017-11-25T01:08:36.242Z,,,,50.7,0,,31.4
2017-11-25T01:08:46.242Z,0,38,2,55,0,,31.4
2017-11-25T01:08:56.321Z,,29,,58.4,0,,31.5
2017-11-25T01:09:06.242Z,,30,,59,0,,31.5
2017-11-25T01:09:16.241Z,,29,,59.6,0,,31.5
2017-11-25T01:09:26.242Z,,29,,60.1,0,,31.5
2017-11-25T01:09:36.242Z,,30,,60.5,0,,31.5
2017-11-25T01:09:46.243Z,,,,60.8,0,,31.5
2017-11-25T01:09:56.337Z,,,,,0,,31.6
2017-11-25T01:10:06.243Z,0,0,2,57.9,0,,31.6
2017-11-25T01:10:16.244Z,,,,53.9,0,,31.6
2017-11-25T01:10:26.241Z,,,,51.8,0,,31.6
2017-11-25T01:10:36.244Z,,,,50.5,0,,31.6
2017-11-25T01:10:46.247Z,,,,49.9,0,,31.6
2017-11-25T01:10:56.352Z,,,,49.5,0,,31.6
2017-11-25T01:11:06.242Z,,,,,0,,31.6
2017-11-25T01:11:16.242Z,,,,49.8,0,,31.8
2017-11-25T01:11:26.244Z,,,,50.2,0,,31.8
2017-11-25T01:11:36.243Z,,,,50.7,0,,31.8
2017-11-25T01:11:46.244Z,,,,51.1,0,,31.8
2017-11-25T01:11:56.382Z,,,,51.5,0,,31.8
2017-11-25T01:12:06.242Z,,,,51.8,0,,31.8
2017-11-25T01:12:16.244Z,,,,51.9,0,,31.8
2017-11-25T01:12:26.242Z,,,,51.6,0,,31.8
2017-11-25T01:12:36.247Z,,,,50.9,0,,31.9
2017-11-25T01:12:46.242Z,,,,50.2,0,,31.9
2017-11-25T01:12:56.343Z,,,,49.5,0,,31.9
2017-11-25T01:13:06.242Z,,,,48.8,0,,31.9
2017-11-25T01:13:16.248Z,,,,48.3,0,,31.9
2017-11-25T01:13:26.247Z,,,,47.9,0,,31.9
