Time,ActPow,PrimTSet,HwTSet,HwTOutlet,ChActive,PrimT,HwActive
2017-12-29T01:01:12.560Z,,,0,14.8,,,
2017-12-29T01:01:22.561Z,,,0,14.8,,15.7,
2017-12-29T01:01:32.563Z,,,0,14.8,,15.8,
2017-12-29T01:01:42.561Z,,,0,14.8,,,
2017-12-29T01:01:52.560Z,,,0,14.8,,,
2017-12-29T01:02:02.560Z,,,0,14.8,,,
2017-12-29T01:02:12.562Z,,,0,14.8,,,
2017-12-29T01:02:22.558Z,,,0,14.8,,,
2017-12-29T01:02:32.558Z,,,0,14.8,,15.7,
2017-12-29T01:02:42.560Z,,,0,14.8,,,
2017-12-29T01:02:52.558Z,,,0,14.8,,,
2017-12-29T01:03:02.559Z,,,0,14.8,,,
2017-12-29T01:03:12.558Z,,,0,14.8,,15.8,
2017-12-29T01:03:22.560Z,,,0,14.8,,15.7,
2017-12-29T01:03:32.562Z,,,0,14.8,,,
2017-12-29T01:03:42.559Z,,,0,14.8,,15.8,
2017-12-29T01:03:52.559Z,,,0,14.8,,15.7,
2017-12-29T01:04:02.564Z,,,0,14.8,,,
2017-12-29T01:04:12.560Z,,,0,14.8,,,
2017-12-29T01:04:22.914Z,,,0,14.8,,,
2017-12-29T01:04:32.562Z,,,0,14.8,,,
2017-12-29T01:04:42.560Z,,,0,14.8,,,
2017-12-29T01:04:52.560Z,,,0,14.8,,,
2017-12-29T01:05:02.559Z,,,0,14.8,,,
2017-12-29T01:05:12.559Z,,,0,14.8,,,
2017-12-29T01:05:22.560Z,,,0,14.8,,,
2017-12-29T01:05:32.559Z,,,0,14.8,,,
2017-12-29T01:05:42.562Z,,,0,14.8,,,
2017-12-29T01:05:52.559Z,,,0,14.8,,,
2017-12-29T01:06:02.561Z,,,0,14.8,,,
2017-12-29T01:06:12.564Z,,,0,14.8,,,
2017-12-29T01:06:22.559Z,,,0,14.8,,,
2017-12-29T01:06:32.558Z,,,0,14.7,,,
2017-12-29T01:06:42.561Z,,,0,14.8,,,
2017-12-29T01:06:52.562Z,,,0,14.8,,,
2017-12-29T01:07:02.558Z,,,0,14.7,,,
2017-12-29T01:07:12.563Z,,,0,14.8,,,
2017-12-29T01:07:22.562Z,,,0,14.8,,,
2017-12-29T01:07:32.560Z,,,0,14.8,,,
2017-12-29T01:07:42.559Z,,,0,14.8,,,
2017-12-29T01:07:52.563Z,,,0,14.8,,,
2017-12-29T01:08:02.560Z,,,0,14.8,,,
2017-12-29T01:08:12.561Z,,,0,14.7,,,
2017-12-29T01:08:22.559Z,,,0,14.8,,,
2017-12-29T01:08:32.560Z,,,0,14.8,,,
2017-12-29T01:08:42.559Z,,,0,14.8,,,
2017-12-29T01:08:52.559Z,,,0,14.8,,,
2017-12-29T01:09:02.559Z,,,0,14.8,,,
2017-12-29T01:09:12.559Z,,,0,14.7,,,
2017-12-29T01:09:22.559Z,,,0,14.7,,,
2017-12-29T01:09:32.559Z,,,0,14.8,,,
2017-12-29T01:09:42.559Z,,,0,14.7,,,
2017-12-29T01:09:52.559Z,,,0,14.7,,,
2017-12-29T01:10:02.560Z,,,0,14.7,,,
2017-12-29T01:10:12.559Z,,,0,14.7,,,
2017-12-29T01:10:22.559Z,,,0,14.8,,,
2017-12-29T01:10:32.564Z,,,0,14.7,,,
2017-12-29T01:10:42.559Z,,,0,14.7,,,
2017-12-29T01:10:52.559Z,,,0,14.7,,,
2017-12-29T01:11:02.563Z,,,0,14.7,,,
2017-12-29T01:11:12.560Z,,,0,14.7,,,
2017-12-29T01:11:22.559Z,,,0,14.7,,,
2017-12-29T01:11:32.559Z,,,0,14.7,,,
2017-12-29T01:11:42.559Z,,,0,14.7,,,
2017-12-29T01:11:52.559Z,,,0,14.7,,,
2017-12-29T01:12:02.560Z,,,0,14.7,,,
2017-12-29T01:12:12.559Z,,,0,14.7,,,
