Time,PrimTSet,HwTSet,ActPow,HwTOutlet,PrimT,ChActive,HwActive
2018-01-28T00:57:06.831Z,,0,,23.4,,,
2018-01-28T00:57:16.831Z,,0,,23.4,,,
2018-01-28T00:57:26.837Z,,0,,23.4,,,
2018-01-28T00:57:36.830Z,,0,,23.4,35.3,,
2018-01-28T00:57:46.831Z,,0,,23.4,,,
2018-01-28T00:57:56.831Z,,0,,23.4,,,
2018-01-28T00:58:07.039Z,,0,,23.4,,,
2018-01-28T00:58:16.831Z,,0,,23.4,,,
2018-01-28T00:58:26.831Z,,0,,23.4,,,
2018-01-28T00:58:37.036Z,,0,,23.4,,,
2018-01-28T00:58:46.831Z,,0,,23.4,,,
2018-01-28T00:58:56.835Z,,0,,23.4,,,
2018-01-28T00:59:07.260Z,,0,,23.4,,,
2018-01-28T00:59:16.831Z,,0,,23.4,,,
2018-01-28T00:59:26.831Z,,0,,23.4,,,
2018-01-28T00:59:36.836Z,,0,,23.4,35.2,,
2018-01-28T00:59:46.831Z,,0,,23.4,,,
2018-01-28T00:59:56.831Z,,0,,23.4,,,
2018-01-28T01:00:06.835Z,,0,,23.4,,,
2018-01-28T01:00:16.831Z,,0,,23.3,,,
2018-01-28T01:00:26.831Z,,0,,23.3,,,
2018-01-28T01:00:36.832Z,,0,,23.3,,,
2018-01-28T01:00:46.831Z,,0,,23.3,,,
2018-01-28T01:00:56.832Z,,0,,23.3,,,
2018-01-28T01:01:06.832Z,,0,,23.3,,,
2018-01-28T01:01:16.832Z,,0,,23.3,,,
2018-01-28T01:01:26.835Z,,0,,23.3,,,
2018-01-28T01:01:36.831Z,,0,,23.3,35.1,,
2018-01-28T01:01:46.838Z,,0,,23.3,,,
2018-01-28T01:01:56.835Z,,0,,23.3,,,
2018-01-28T01:02:06.833Z,,0,,23.3,,,
2018-01-28T01:02:16.835Z,,0,,23.3,,,
2018-01-28T01:02:26.832Z,,0,,23.3,,,
2018-01-28T01:02:36.831Z,,0,,23.3,,,
2018-01-28T01:02:57.028Z,,0,,23.3,,,
2018-01-28T01:03:06.836Z,,0,,23.3,,,
2018-01-28T01:03:16.832Z,,0,,23.3,,,
2018-01-28T01:03:27.029Z,,0,,23.2,35.1,,
2018-01-28T01:03:36.837Z,,0,,23.2,34.9,,
2018-01-28T01:03:46.837Z,,0,,23.2,,,
2018-01-28T01:03:56.835Z,,0,,23.2,,,
2018-01-28T01:04:06.879Z,,0,,23.2,,,
2018-01-28T01:04:16.842Z,,0,,23.2,,,
2018-01-28T01:04:26.980Z,,0,,23.2,,,
2018-01-28T01:04:37.064Z,,0,,23.2,,,
2018-01-28T01:04:46.837Z,,0,,23.2,,,
2018-01-28T01:05:01.932Z,,0,,23.2,,,
2018-01-28T01:05:06.832Z,,0,,23.2,,,
2018-01-28T01:05:16.833Z,,0,,23.2,,,
2018-01-28T01:05:26.837Z,,0,,23.2,,,
2018-01-28T01:05:36.837Z,,0,,23.2,,,
2018-01-28T01:05:46.837Z,,0,,23.2,34.8,,
2018-01-28T01:05:56.832Z,,0,,23.2,,,
2018-01-28T01:06:06.832Z,,0,,23.2,,,
