Time,ChActive,HwTOutlet,ActPow,HwTSet,PrimT,HwActive,PrimTSet
2017-11-26T00:50:36.480Z,,36.4,,0,53.4,,
2017-11-26T00:50:46.480Z,,36.4,,0,53.1,,
2017-11-26T00:50:56.483Z,,36.4,,0,52.7,,
2017-11-26T00:51:06.479Z,,36.4,,0,52.1,,
2017-11-26T00:51:16.482Z,,36.4,,0,51.7,,
2017-11-26T00:51:26.483Z,,36.3,,0,51.3,,
2017-11-26T00:51:36.478Z,,36.3,,0,50.9,,
2017-11-26T00:51:46.478Z,,36.3,,0,50.6,,
2017-11-26T00:51:56.796Z,,36.3,,0,50.3,,
2017-11-26T00:52:06.482Z,,36.3,,0,50.1,,
2017-11-26T00:52:16.479Z,1,36.3,45,0,50,0,
2017-11-26T00:52:26.478Z,,36.2,35,0,56.2,,
2017-11-26T00:52:36.484Z,,36.2,30,0,60.2,,
2017-11-26T00:52:46.481Z,,36.2,29,0,62,,
2017-11-26T00:52:56.484Z,,36.2,,0,63.1,,
2017-11-26T00:53:06.479Z,,36.2,30,0,63.8,,
2017-11-26T00:53:16.479Z,,36.2,,0,64.4,,
2017-11-26T00:53:26.484Z,,36.1,,0,64.7,,
2017-11-26T00:53:36.478Z,,36.1,29,0,64.9,,
2017-11-26T00:53:46.478Z,,36.1,30,0,65.1,,
2017-11-26T00:53:56.478Z,1,36.1,0,0,61.9,0,
2017-11-26T00:54:06.479Z,,36.1,,0,56.8,,
2017-11-26T00:54:16.484Z,,36.1,,0,54.7,,
2017-11-26T00:54:26.478Z,,36,,0,52.7,,
2017-11-26T00:54:36.480Z,,36,,0,51.5,,
2017-11-26T00:54:46.479Z,,36,,0,50.6,,
2017-11-26T00:54:56.479Z,,36,,0,50.3,,
2017-11-26T00:55:06.705Z,,36,,0,50.5,,
2017-11-26T00:55:16.479Z,,36,,0,51,,
2017-11-26T00:55:26.479Z,,36,,0,51.5,,
2017-11-26T00:55:36.482Z,,36,,0,52.1,,
2017-11-26T00:55:46.485Z,,35.9,,0,53,,
2017-11-26T00:55:56.478Z,,35.9,,0,53.6,,
2017-11-26T00:56:06.479Z,,35.9,,0,54.3,,
2017-11-26T00:56:16.479Z,,35.9,,0,54.9,,
2017-11-26T00:56:26.479Z,,35.9,,0,55,,
2017-11-26T00:56:36.485Z,,35.9,,0,54.8,,
2017-11-26T00:56:46.479Z,,35.9,,0,54.1,,
2017-11-26T00:56:56.483Z,,35.8,,0,53.4,,
2017-11-26T00:57:06.479Z,,35.8,,0,52.4,,
2017-11-26T00:57:16.481Z,1,35.8,45,0,51.5,0,
2017-11-26T00:57:26.670Z,,35.8,35,0,57.3,,
2017-11-26T00:57:41.499Z,,35.7,29,0,60.7,,
2017-11-26T00:57:46.480Z,,35.7,29,0,62,,
2017-11-26T00:57:56.479Z,,35.7,30,0,62.5,,
2017-11-26T00:58:06.482Z,,35.7,29,0,63.3,,
2017-11-26T00:58:16.479Z,,35.7,,0,64.1,,
2017-11-26T00:58:26.481Z,,35.7,,0,64.7,,
2017-11-26T00:58:36.483Z,1,35.7,0,0,64.9,0,
2017-11-26T00:58:46.482Z,,35.7,,0,59.9,,
2017-11-26T00:58:56.481Z,,35.7,,0,56.8,,
2017-11-26T00:59:06.480Z,,35.6,,0,55.2,,
2017-11-26T00:59:16.484Z,,35.6,,0,53.7,,
2017-11-26T00:59:26.480Z,,35.6,,0,52.9,,
2017-11-26T00:59:36.480Z,,35.6,,0,52.2,,
2017-11-26T00:59:46.482Z,,35.6,,0,51.8,,
2017-11-26T00:59:56.481Z,,35.6,,0,51.7,,
2017-11-26T01:00:06.480Z,,35.6,,0,52,,
2017-11-26T01:00:16.480Z,,35.5,,0,52.3,,
2017-11-26T01:00:26.480Z,,35.5,,0,53,,
2017-11-26T01:00:36.480Z,,35.5,,0,53.3,,
2017-11-26T01:00:46.479Z,,35.5,,0,53.9,,
2017-11-26T01:00:56.480Z,,35.5,,0,54.4,,
2017-11-26T01:01:06.479Z,,35.5,,0,54.8,,
2017-11-26T01:01:16.481Z,,35.4,,0,54.9,,
2017-11-26T01:01:26.481Z,,35.4,,0,54.7,,
2017-11-26T01:01:36.480Z,,35.4,,0,54.1,,
2017-11-26T01:01:46.482Z,,35.4,,0,53.4,,
2017-11-26T01:01:56.482Z,,35.4,,0,52.8,,
2017-11-26T01:02:06.481Z,,35.4,,0,51.9,,
2017-11-26T01:02:16.481Z,1,35.3,45,0,51.4,0,
2017-11-26T01:02:26.485Z,,35.3,35,0,57.2,,
2017-11-26T01:02:36.480Z,,35.3,30,0,61.1,,
2017-11-26T01:02:46.479Z,,35.3,30,0,62.1,,
2017-11-26T01:02:56.481Z,,35.3,30,0,63.2,,
2017-11-26T01:03:06.480Z,,35.3,29,0,64.1,,
2017-11-26T01:03:16.480Z,,35.3,,0,64.7,,
2017-11-26T01:03:26.480Z,1,35.3,0,0,64.8,0,
2017-11-26T01:03:36.480Z,,35.2,,0,59.6,,
2017-11-26T01:03:46.481Z,,35.2,,0,56.6,,
2017-11-26T01:03:56.485Z,,35.2,,0,54.9,,
2017-11-26T01:04:06.480Z,,35.2,,0,53.8,,
2017-11-26T01:04:16.480Z,,35.2,,0,52.8,,
2017-11-26T01:04:26.480Z,,35.2,,0,51.9,,
2017-11-26T01:04:36.483Z,,35.1,,0,51.5,,
2017-11-26T01:04:46.480Z,,35.1,,0,51.1,,
2017-11-26T01:04:56.485Z,,35.1,,0,51.3,,
2017-11-26T01:05:06.480Z,,35.1,,0,52.2,,
2017-11-26T01:05:16.482Z,,35.1,,0,53.3,,
2017-11-26T01:05:26.480Z,,35.1,,0,49.7,,
2017-11-26T01:05:36.480Z,,35.1,,0,45.9,,
2017-11-26T01:05:46.481Z,,35.1,,0,42.8,,
2017-11-26T01:05:56.481Z,,34.9,,0,40.8,,
2017-11-26T01:06:06.482Z,,34.9,,0,39.8,,
2017-11-26T01:06:16.481Z,,34.9,,0,39.6,,
2017-11-26T01:06:26.480Z,,34.9,,0,40.2,,
2017-11-26T01:06:36.485Z,,34.9,,0,41.5,,
