Time,HwActive,HwTSet,HwTOutlet,PrimT,ActPow,PrimTSet,ChActive
2017-12-18T00:59:49.377Z,,0,35.3,,,,
2017-12-18T00:59:59.287Z,,0,35.2,,,,
2017-12-18T01:00:09.287Z,,0,34.9,42.4,,,
2017-12-18T01:00:19.408Z,,0,34.8,,,,
2017-12-18T01:00:29.288Z,,0,34.6,,,,
2017-12-18T01:00:39.287Z,,0,34.5,,,,
2017-12-18T01:00:49.368Z,,0,34.3,,,,
2017-12-18T01:00:59.288Z,,0,34.2,,,,
2017-12-18T01:01:09.289Z,,0,34.1,,,,
2017-12-18T01:01:19.288Z,,0,33.9,,,,
2017-12-18T01:01:29.288Z,,0,33.8,,,,
2017-12-18T01:01:39.288Z,,0,33.6,,,,
2017-12-18T01:01:49.378Z,,0,33.5,,,,
2017-12-18T01:01:59.290Z,,0,33.4,,,,
2017-12-18T01:02:09.288Z,,0,33.3,42.3,,,
2017-12-18T01:02:19.288Z,,0,33.2,42.4,,,
2017-12-18T01:02:29.288Z,,0,32.9,42.3,,,
2017-12-18T01:02:39.288Z,,0,32.8,,,,
2017-12-18T01:02:49.368Z,,0,32.7,,,,
2017-12-18T01:02:59.288Z,,0,32.6,,,,
2017-12-18T01:03:09.288Z,,0,32.5,,,,
2017-12-18T01:03:19.288Z,,0,32.4,,,,
2017-12-18T01:03:29.288Z,,0,32.3,,,,
2017-12-18T01:03:39.288Z,,0,32.2,,,,
2017-12-18T01:03:49.368Z,,0,32.1,,,,
2017-12-18T01:03:59.288Z,,0,32,,,,
2017-12-18T01:04:09.288Z,,0,31.9,,,,
2017-12-18T01:04:19.288Z,,0,31.8,,,,
2017-12-18T01:04:29.288Z,,0,31.6,,,,
2017-12-18T01:04:39.290Z,,0,31.5,42.2,,,
2017-12-18T01:04:49.368Z,,0,31.4,,,,
2017-12-18T01:04:59.291Z,,0,31.3,,,,
2017-12-18T01:05:09.291Z,,0,31.2,,,,
2017-12-18T01:05:19.293Z,,0,31,,,,
2017-12-18T01:05:29.291Z,,0,30.9,,,,
2017-12-18T01:05:39.291Z,,0,30.8,,,,
2017-12-18T01:05:49.373Z,,0,30.7,,,,
2017-12-18T01:05:59.289Z,,0,30.6,,,,
2017-12-18T01:06:09.289Z,0,0,30.6,42.2,0,5,0
2017-12-18T01:06:19.288Z,,0,30.4,,,,
2017-12-18T01:06:29.288Z,,0,30.3,,,,
2017-12-18T01:06:39.290Z,,0,30.2,42.1,,,
2017-12-18T01:06:49.378Z,,0,30.2,,,,
2017-12-18T01:06:59.288Z,,0,30.1,,,,
2017-12-18T01:07:09.288Z,,0,30,,,,
2017-12-18T01:07:19.289Z,,0,29.8,,,,
2017-12-18T01:07:29.289Z,,0,29.8,,,,
2017-12-18T01:07:39.398Z,,0,29.7,,,,
2017-12-18T01:07:49.369Z,,0,29.6,,,,
2017-12-18T01:07:59.289Z,,0,29.5,,,,
2017-12-18T01:08:09.289Z,,0,29.5,42,,,
2017-12-18T01:08:19.289Z,,0,29.3,,,,
2017-12-18T01:08:29.288Z,,0,29.2,,,,
2017-12-18T01:08:39.289Z,,0,29.2,,,,
2017-12-18T01:08:49.369Z,,0,29.1,,,,
2017-12-18T01:08:59.288Z,,0,29,,,,
2017-12-18T01:09:09.289Z,,0,28.9,,,,
2017-12-18T01:09:19.289Z,,0,28.9,41.9,,,
2017-12-18T01:09:29.289Z,,0,28.7,41.9,,,
2017-12-18T01:09:39.289Z,,0,28.7,,,,
2017-12-18T01:09:49.369Z,,0,28.6,,,,
2017-12-18T01:09:59.292Z,,0,28.5,,,,
2017-12-18T01:10:09.289Z,,0,28.5,,,,
2017-12-18T01:10:19.289Z,,0,28.4,,,,
2017-12-18T01:10:29.289Z,,0,28.4,,,,
2017-12-18T01:10:39.289Z,,0,28.3,,,,
2017-12-18T01:10:49.368Z,,0,28.1,,,,
2017-12-18T01:10:59.289Z,,0,28.1,41.8,,,
2017-12-18T01:11:09.289Z,,0,28,,,,
2017-12-18T01:11:19.289Z,,0,28,,,,
2017-12-18T01:11:29.292Z,,0,27.9,,,,
2017-12-18T01:11:39.289Z,,0,27.9,,,,
2017-12-18T01:11:49.380Z,,0,27.8,,,,
2017-12-18T01:11:59.290Z,,0,27.8,,,,
2017-12-18T01:12:09.289Z,,0,27.7,41.7,,,
2017-12-18T01:12:19.289Z,,0,27.5,,,,
2017-12-18T01:12:29.289Z,,0,27.5,,,,
2017-12-18T01:12:39.290Z,,0,27.4,,,,
2017-12-18T01:12:49.369Z,,0,27.4,,,,
2017-12-18T01:12:59.289Z,,0,27.3,,,,
2017-12-18T01:13:09.289Z,,0,27.3,,,,
2017-12-18T01:13:19.289Z,,0,27.2,,,,
2017-12-18T01:13:29.291Z,,0,27.2,41.6,,,
2017-12-18T01:13:39.290Z,,0,27.1,,,,
2017-12-18T01:13:49.370Z,,0,27.1,,,,
2017-12-18T01:13:59.290Z,,0,26.9,,,,
2017-12-18T01:14:09.289Z,,0,26.9,,,,
2017-12-18T01:14:19.290Z,,0,26.9,,,,
2017-12-18T01:14:29.290Z,,0,26.8,,,,
2017-12-18T01:14:39.290Z,,0,26.8,,,,
2017-12-18T01:14:49.370Z,,0,26.7,41.5,,,
2017-12-18T01:14:59.290Z,,0,26.7,,,,
2017-12-18T01:15:09.289Z,,0,26.6,,,,
2017-12-18T01:15:19.294Z,,0,26.6,,,,
2017-12-18T01:15:29.290Z,,0,26.6,,,,
2017-12-18T01:15:39.290Z,,0,26.5,,,,
2017-12-18T01:15:49.370Z,,0,26.5,,,,
2017-12-18T01:15:59.290Z,,0,26.3,41.4,,,
2017-12-18T01:16:09.289Z,,0,26.3,,,,
