Time,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet,ChActive,HwTSet
2018-02-06T01:13:57.823Z,23,,,,,,0
2018-02-06T01:14:07.808Z,23,,,,,,0
2018-02-06T01:14:17.815Z,23,,,,,,0
2018-02-06T01:14:27.808Z,23,,,,,,0
2018-02-06T01:14:37.808Z,23,,,,,,0
2018-02-06T01:14:47.808Z,23,,,,,,0
2018-02-06T01:14:57.808Z,23,,43.4,,,,0
2018-02-06T01:15:07.808Z,23,,,,,,0
2018-02-06T01:15:17.808Z,23,,,,,,0
2018-02-06T01:15:27.808Z,22.8,,,,,,0
2018-02-06T01:15:37.809Z,22.8,,,,,,0
2018-02-06T01:15:47.808Z,22.8,,,,,,0
2018-02-06T01:15:57.808Z,22.8,,,,,,0
2018-02-06T01:16:07.809Z,22.8,,43.3,,,,0
2018-02-06T01:16:17.808Z,22.8,,,,,,0
2018-02-06T01:16:27.808Z,22.8,,,,,,0
2018-02-06T01:16:37.809Z,22.8,,,,,,0
2018-02-06T01:16:47.809Z,22.8,,,,,,0
2018-02-06T01:16:57.818Z,22.7,,,,,,0
2018-02-06T01:17:07.809Z,22.7,,,,,,0
2018-02-06T01:17:17.820Z,22.7,,43.2,,,,0
2018-02-06T01:17:27.809Z,22.7,,,,,,0
2018-02-06T01:17:37.939Z,22.7,,,,,,0
2018-02-06T01:17:47.852Z,22.7,,,,,,0
2018-02-06T01:17:57.809Z,22.7,,,,,,0
2018-02-06T01:18:07.809Z,22.7,,,,,,0
2018-02-06T01:18:17.808Z,22.7,,43.1,,,,0
2018-02-06T01:18:27.809Z,22.7,,43.2,,,,0
2018-02-06T01:18:37.809Z,22.7,,43.1,,,,0
2018-02-06T01:18:47.809Z,22.7,,,,,,0
2018-02-06T01:18:57.809Z,22.6,,,,,,0
2018-02-06T01:19:07.809Z,22.6,,,,,,0
2018-02-06T01:19:17.809Z,22.6,,,,,,0
2018-02-06T01:19:27.811Z,22.6,,43,,,,0
2018-02-06T01:19:37.811Z,22.6,,,,,,0
2018-02-06T01:19:47.811Z,22.6,,,,,,0
2018-02-06T01:19:57.811Z,22.6,,,,,,0
2018-02-06T01:20:07.810Z,22.6,,,,,,0
2018-02-06T01:20:17.810Z,22.6,,,,,,0
