Time,HwTSet,HwActive,HwTOutlet,PrimT,ChActive,PrimTSet,ActPow
2018-01-05T01:06:03.820Z,0,,21.2,,,,
2018-01-05T01:06:13.815Z,0,,21.2,,,,
2018-01-05T01:06:23.815Z,0,,21.2,,,,
2018-01-05T01:06:38.917Z,0,,21.2,,,,
2018-01-05T01:06:43.820Z,0,,21.2,,,,
2018-01-05T01:06:53.815Z,0,,21.2,,,,
2018-01-05T01:07:03.816Z,0,,21.2,,,,
2018-01-05T01:07:13.840Z,0,,21.2,,,,
2018-01-05T01:07:23.815Z,0,,21.2,36.2,,,
2018-01-05T01:07:33.815Z,0,,21.2,,,,
2018-01-05T01:07:43.815Z,0,,21.2,,,,
2018-01-05T01:07:53.815Z,0,,21.2,,,,
2018-01-05T01:08:03.817Z,0,,21.2,,,,
2018-01-05T01:08:13.818Z,0,,21.2,,,,
2018-01-05T01:08:23.815Z,0,,21.2,,,,
2018-01-05T01:08:33.816Z,0,,21.2,,,,
2018-01-05T01:08:43.817Z,0,,21.2,,,,
2018-01-05T01:08:58.872Z,0,,21.2,,,,
2018-01-05T01:09:03.819Z,0,,21.2,,,,
2018-01-05T01:09:13.817Z,0,,21.2,36.1,,,
2018-01-05T01:09:23.816Z,0,,21.2,,,,
2018-01-05T01:09:33.816Z,0,,21.1,,,,
2018-01-05T01:09:43.865Z,0,,21.1,,,,
2018-01-05T01:09:53.820Z,0,,21.1,,,,
2018-01-05T01:10:03.816Z,0,,21.1,,,,
2018-01-05T01:10:13.816Z,0,,21.1,,,,
2018-01-05T01:10:23.818Z,0,,21.1,,,,
2018-01-05T01:10:33.815Z,0,,21.1,36,,,
2018-01-05T01:10:43.818Z,0,,21.1,36.1,,,
2018-01-05T01:10:53.821Z,0,,21.1,,,,
2018-01-05T01:11:03.821Z,0,,21.1,36,,,
2018-01-05T01:11:13.816Z,0,,21.1,,,,
2018-01-05T01:11:23.816Z,0,,21.1,,,,
2018-01-05T01:11:33.825Z,0,,21.1,,,,
2018-01-05T01:11:43.816Z,0,,21.1,,,,
2018-01-05T01:11:53.981Z,0,,21.1,,,,
2018-01-05T01:12:03.821Z,0,,21.1,,,,
2018-01-05T01:12:13.821Z,0,,21.1,,,,
2018-01-05T01:12:23.818Z,0,,21.1,35.9,,,
2018-01-05T01:12:33.837Z,0,,21.1,35.9,,,
2018-01-05T01:12:43.819Z,0,,21.1,,,,
2018-01-05T01:12:53.833Z,0,,21.1,,,,
2018-01-05T01:13:03.816Z,0,,21.1,,,,
2018-01-05T01:13:13.816Z,0,,21.1,,,,
2018-01-05T01:13:23.816Z,0,,21.1,,,,
2018-01-05T01:13:33.816Z,0,,21.1,,,,
2018-01-05T01:13:44.281Z,0,,21.1,,,,
2018-01-05T01:13:53.990Z,0,,21.1,,,,
2018-01-05T01:14:03.817Z,0,,21.1,,,,
2018-01-05T01:14:13.816Z,0,,21.1,35.8,,,
2018-01-05T01:14:23.816Z,0,,21.1,,,,
2018-01-05T01:14:33.816Z,0,,21.1,,,,
2018-01-05T01:14:43.816Z,0,,21.1,,,,
2018-01-05T01:14:53.816Z,0,,21.1,,,,
2018-01-05T01:15:03.819Z,0,,21.1,,,,
2018-01-05T01:15:13.816Z,0,,21.1,,,,
2018-01-05T01:15:23.816Z,0,,21.1,,,,
2018-01-05T01:15:33.829Z,0,,21.1,,,,
2018-01-05T01:15:43.816Z,0,,21.1,,,,
2018-01-05T01:15:53.816Z,0,,21.1,,,,
2018-01-05T01:16:03.816Z,0,,21.1,,,,
2018-01-05T01:16:13.981Z,0,,21.1,,,,
2018-01-05T01:16:23.817Z,0,,20.9,35.7,,,
2018-01-05T01:16:33.820Z,0,,21.1,,,,
2018-01-05T01:16:48.911Z,0,,20.9,,,,
2018-01-05T01:16:53.820Z,0,,20.9,,,,
2018-01-05T01:17:03.817Z,0,,20.9,,,,
2018-01-05T01:17:13.858Z,0,,20.9,,,,
2018-01-05T01:17:23.833Z,0,,20.9,,,,
2018-01-05T01:17:33.816Z,0,,20.9,,,,
2018-01-05T01:17:43.816Z,0,,20.9,,,,
2018-01-05T01:17:53.817Z,0,,20.9,,,,
2018-01-05T01:18:03.819Z,0,,20.9,35.6,,,
2018-01-05T01:18:13.817Z,0,,20.9,,,,
2018-01-05T01:18:23.817Z,0,,20.9,,,,
2018-01-05T01:18:33.817Z,0,,20.9,,,,
2018-01-05T01:18:43.817Z,0,,20.9,,,,
2018-01-05T01:18:53.817Z,0,,20.9,,,,
2018-01-05T01:19:03.819Z,0,,20.9,,,,
2018-01-05T01:19:13.817Z,0,,20.9,,,,
2018-01-05T01:19:23.819Z,0,,20.9,,,,
2018-01-05T01:19:33.817Z,0,,20.9,,,,
2018-01-05T01:19:43.817Z,0,,20.9,,,,
2018-01-05T01:19:53.817Z,0,,20.9,35.5,,,
2018-01-05T01:20:03.820Z,0,,20.9,,,,
2018-01-05T01:20:13.817Z,0,,20.9,,,,
2018-01-05T01:20:23.818Z,0,,20.9,,,,
2018-01-05T01:20:33.974Z,0,,20.9,,,,
2018-01-05T01:20:43.817Z,0,,20.9,,,,
2018-01-05T01:20:53.821Z,0,,20.9,,,,
2018-01-05T01:21:03.819Z,0,,20.9,,,,
