Time,HwTSet,PrimT,ActPow,HwActive,PrimTSet,ChActive,HwTOutlet
2018-02-07T01:13:08.028Z,0,,,,,,21.1
2018-02-07T01:13:18.028Z,0,,,,,,21.1
2018-02-07T01:13:28.183Z,0,,,,,,21.1
2018-02-07T01:13:38.028Z,0,,,,,,20.9
2018-02-07T01:13:48.029Z,0,,,,,,21.1
2018-02-07T01:13:58.029Z,0,,,,,,20.9
2018-02-07T01:14:08.028Z,0,,,,,,20.9
2018-02-07T01:14:18.028Z,0,,,,,,20.9
2018-02-07T01:14:28.028Z,0,35.4,,,,,20.9
2018-02-07T01:14:38.028Z,0,,,,,,20.9
2018-02-07T01:14:48.028Z,0,,,,,,20.9
2018-02-07T01:14:58.028Z,0,,,,,,20.9
2018-02-07T01:15:08.028Z,0,,,,,,20.9
2018-02-07T01:15:18.041Z,0,,,,,,20.9
2018-02-07T01:15:28.028Z,0,,,,,,20.9
2018-02-07T01:15:38.030Z,0,,,,,,20.9
2018-02-07T01:15:48.044Z,0,,,,,,20.9
2018-02-07T01:15:58.029Z,0,,,,,,20.9
2018-02-07T01:16:08.029Z,0,,,,,,20.9
2018-02-07T01:16:18.032Z,0,,,,,,20.9
2018-02-07T01:16:28.029Z,0,35.3,,,,,20.9
2018-02-07T01:16:39.090Z,0,,,,,,20.9
2018-02-07T01:16:48.033Z,0,,,,,,20.9
2018-02-07T01:16:58.029Z,0,,,,,,20.9
2018-02-07T01:17:08.036Z,0,,,,,,20.9
2018-02-07T01:17:18.029Z,0,,,,,,20.9
2018-02-07T01:17:29.169Z,0,,,,,,20.9
2018-02-07T01:17:38.030Z,0,,,,,,20.8
2018-02-07T01:17:48.132Z,0,,,,,,20.9
2018-02-07T01:17:58.032Z,0,,,,,,20.9
2018-02-07T01:18:08.030Z,0,35.2,,,,,20.9
2018-02-07T01:18:18.031Z,0,,,,,,20.9
2018-02-07T01:18:28.354Z,0,,,,,,20.9
2018-02-07T01:18:38.034Z,0,,,,,,20.9
2018-02-07T01:18:48.030Z,0,,,,,,20.8
2018-02-07T01:18:58.030Z,0,,,,,,20.8
2018-02-07T01:19:08.031Z,0,,,,,,20.8
2018-02-07T01:19:18.029Z,0,,,,,,20.8
2018-02-07T01:19:28.031Z,0,,,,,,20.8
2018-02-07T01:19:38.029Z,0,,,,,,20.8
2018-02-07T01:19:48.029Z,0,,,,,,20.8
2018-02-07T01:19:58.032Z,0,35.1,,,,,20.8
2018-02-07T01:20:08.038Z,0,,,,,,20.8
2018-02-07T01:20:18.029Z,0,,,,,,20.8
2018-02-07T01:20:28.136Z,0,,,,,,20.8
2018-02-07T01:20:38.029Z,0,,,,,,20.8
2018-02-07T01:20:48.029Z,0,,,,,,20.8
2018-02-07T01:20:58.277Z,0,,,,,,20.8
2018-02-07T01:21:08.029Z,0,,,,,,20.8
2018-02-07T01:21:18.033Z,0,,,,,,20.8
