Time,PrimT,PrimTSet,HwActive,HwTOutlet,ChActive,ActPow,HwTSet
2017-11-26T01:10:50.071Z,,,,40.7,,,55
2017-11-26T01:11:00.070Z,,,,40.6,,,55
2017-11-26T01:11:10.070Z,,,,40.6,,,55
2017-11-26T01:11:20.070Z,,,,40.5,,,55
2017-11-26T01:11:30.071Z,52.4,,,40.5,,,55
2017-11-26T01:11:40.070Z,,,,40.5,,,55
2017-11-26T01:11:50.071Z,,,,40.3,,,55
2017-11-26T01:12:00.071Z,,,,40.3,,,55
2017-11-26T01:12:10.072Z,,,,40.2,,,55
2017-11-26T01:12:20.070Z,52.3,,,40.2,,,55
2017-11-26T01:12:30.071Z,,,,40.1,,,55
2017-11-26T01:12:40.070Z,,,,40.1,,,55
2017-11-26T01:12:50.075Z,,,,40.1,,,55
2017-11-26T01:13:00.071Z,,,,40,,,55
2017-11-26T01:13:10.070Z,52.2,,,40,,,55
2017-11-26T01:13:20.070Z,,,,39.9,,,55
2017-11-26T01:13:30.070Z,,,,39.9,,,55
2017-11-26T01:13:40.070Z,,,,39.9,,,55
2017-11-26T01:13:50.071Z,,,,39.8,,,55
2017-11-26T01:14:00.071Z,52.1,,,39.8,,,55
2017-11-26T01:14:11.067Z,,,,39.6,,,55
2017-11-26T01:14:20.071Z,,,,39.6,,,55
2017-11-26T01:14:30.071Z,,,,39.5,,,55
2017-11-26T01:14:40.071Z,,,,39.5,,,55
2017-11-26T01:14:50.075Z,52,,,39.5,,,55
2017-11-26T01:15:00.075Z,,,,39.4,,,55
2017-11-26T01:15:10.071Z,,,,39.4,,,55
2017-11-26T01:15:20.071Z,,,,39.3,,,55
2017-11-26T01:15:30.071Z,51.9,,,39.3,,,55
2017-11-26T01:15:40.071Z,,,,39.1,,,55
2017-11-26T01:15:50.070Z,,,,39.1,,,55
2017-11-26T01:16:00.071Z,,,,39.1,,,55
2017-11-26T01:16:10.071Z,,,,39,,,55
2017-11-26T01:16:20.071Z,,,,39,,,55
2017-11-26T01:16:30.071Z,51.8,,,39,,,55
2017-11-26T01:16:40.074Z,,,,38.9,,,55
2017-11-26T01:16:50.071Z,,,,38.9,,,55
2017-11-26T01:17:01.063Z,,,,38.8,,,55
2017-11-26T01:17:10.071Z,,,,38.8,,,55
2017-11-26T01:17:20.071Z,51.7,,,38.6,,,55
2017-11-26T01:17:30.071Z,,,,38.6,,,55
2017-11-26T01:17:40.071Z,,,,38.6,,,55
2017-11-26T01:17:50.072Z,,,,38.5,,,55
2017-11-26T01:18:00.071Z,,,,38.5,,,55
2017-11-26T01:18:10.071Z,51.6,,,38.4,,,55
2017-11-26T01:18:20.076Z,,,,38.4,,,55
2017-11-26T01:18:30.071Z,,,,38.4,,,55
2017-11-26T01:18:40.071Z,,,,38.3,,,55
2017-11-26T01:18:50.072Z,,,,38.3,,,55
2017-11-26T01:19:00.071Z,51.4,,,38.1,,,55
2017-11-26T01:19:10.071Z,,,,38.1,,,55
2017-11-26T01:19:20.071Z,,,,38.1,,,55
2017-11-26T01:19:30.071Z,,,,38,,,55
2017-11-26T01:19:40.071Z,,,,38,,,55
2017-11-26T01:19:55.091Z,51.3,,,37.9,,,55
2017-11-26T01:20:00.074Z,,,,37.9,,,55
