Time,ActPow,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet,ChActive
2018-01-12T01:04:11.077Z,,55,,,23.1,,
2018-01-12T01:04:21.074Z,,55,,,23.1,,
2018-01-12T01:04:31.072Z,,55,,,23.1,,
2018-01-12T01:04:41.085Z,,55,41.4,,23.1,,
2018-01-12T01:04:51.073Z,,55,,,23.1,,
2018-01-12T01:05:02.260Z,,55,,,23.1,,
2018-01-12T01:05:11.073Z,,55,,,23.1,,
2018-01-12T01:05:21.072Z,,55,,,23,,
2018-01-12T01:05:31.073Z,,55,,,23,,
2018-01-12T01:05:41.072Z,,55,,,23,,
2018-01-12T01:05:51.077Z,,55,,,23,,
2018-01-12T01:06:01.073Z,,55,41.2,,23,,
2018-01-12T01:06:11.072Z,,55,,,23,,
2018-01-12T01:06:21.072Z,,55,,,23,,
2018-01-12T01:06:32.066Z,,55,,,23,,
2018-01-12T01:06:41.073Z,,55,,,23,,
2018-01-12T01:06:51.073Z,,55,41.1,,23,,
2018-01-12T01:07:01.081Z,,55,,,23,,
2018-01-12T01:07:11.073Z,,55,,,23,,
2018-01-12T01:07:21.076Z,,55,,,23,,
2018-01-12T01:07:31.073Z,,55,,,23,,
2018-01-12T01:07:41.073Z,,55,,,22.8,,
2018-01-12T01:07:51.077Z,,55,,,22.8,,
2018-01-12T01:08:01.073Z,,55,41,,22.8,,
2018-01-12T01:08:11.072Z,,55,,,22.8,,
2018-01-12T01:08:21.073Z,,55,,,22.8,,
2018-01-12T01:08:31.073Z,,55,,,22.8,,
2018-01-12T01:08:41.073Z,,55,,,22.8,,
2018-01-12T01:08:51.073Z,,55,,,22.8,,
2018-01-12T01:09:01.073Z,,55,40.9,,22.8,,
2018-01-12T01:09:11.073Z,,55,,,22.8,,
2018-01-12T01:09:22.069Z,,55,,,22.8,,
2018-01-12T01:09:31.075Z,,55,,,22.7,,
2018-01-12T01:09:41.072Z,,55,,,22.7,,
2018-01-12T01:09:51.073Z,,55,,,22.7,,
2018-01-12T01:10:01.076Z,,55,,,22.7,,
2018-01-12T01:10:11.073Z,,55,40.8,,22.7,,
2018-01-12T01:10:21.073Z,,55,,,22.7,,
2018-01-12T01:10:31.073Z,,55,,,22.7,,
2018-01-12T01:10:41.073Z,,55,,,22.7,,
2018-01-12T01:10:51.073Z,,55,,,22.7,,
2018-01-12T01:11:01.073Z,,55,,,22.7,,
2018-01-12T01:11:11.074Z,,55,,,22.7,,
2018-01-12T01:11:21.074Z,,55,40.7,,22.7,,
2018-01-12T01:11:31.073Z,,55,,,22.7,,
2018-01-12T01:11:41.073Z,,55,,,22.7,,
2018-01-12T01:11:51.073Z,,55,,,22.7,,
2018-01-12T01:12:01.074Z,,55,,,22.5,,
2018-01-12T01:12:12.079Z,,55,,,22.5,,
2018-01-12T01:12:21.073Z,,55,,,22.5,,
2018-01-12T01:12:31.073Z,,55,40.6,,22.5,,
2018-01-12T01:12:41.074Z,,55,,,22.5,,
2018-01-12T01:12:51.074Z,,55,,,22.5,,
2018-01-12T01:13:01.076Z,,55,,,22.5,,
2018-01-12T01:13:11.073Z,,55,,,22.5,,
2018-01-12T01:13:21.074Z,,55,,,22.5,,
2018-01-12T01:13:31.079Z,,55,,,22.5,,
2018-01-12T01:13:41.074Z,,55,40.5,,22.5,,
2018-01-12T01:13:51.076Z,,55,,,22.5,,
2018-01-12T01:14:01.074Z,,55,,,22.5,,
2018-01-12T01:14:11.078Z,,55,,,22.4,,
2018-01-12T01:14:21.076Z,,55,,,22.4,,
2018-01-12T01:14:31.073Z,,55,,,22.4,,
2018-01-12T01:14:41.074Z,,55,40.3,,22.4,,
2018-01-12T01:14:51.073Z,,55,,,22.4,,
2018-01-12T01:15:06.093Z,,55,,,22.4,,
2018-01-12T01:15:11.082Z,,55,,,22.4,,
2018-01-12T01:15:21.074Z,,55,,,22.4,,
2018-01-12T01:15:31.073Z,,55,,,22.4,,
2018-01-12T01:15:41.073Z,,55,,,22.4,,
2018-01-12T01:15:51.074Z,,55,40.2,,22.4,,
2018-01-12T01:16:01.073Z,,55,,,22.3,,
2018-01-12T01:16:11.074Z,,55,,,22.4,,
2018-01-12T01:16:21.075Z,,55,,,22.3,,
2018-01-12T01:16:31.074Z,,55,,,22.3,,
2018-01-12T01:16:41.074Z,,55,,,22.3,,
2018-01-12T01:16:51.074Z,,55,,,22.3,,
2018-01-12T01:17:01.079Z,,55,40.1,,22.3,,
2018-01-12T01:17:11.076Z,,55,,,22.3,,
2018-01-12T01:17:21.074Z,,55,,,22.3,,
2018-01-12T01:17:31.175Z,,55,,,22.3,,
2018-01-12T01:17:41.075Z,,55,,,22.3,,
2018-01-12T01:17:56.094Z,,55,,,22.3,,
2018-01-12T01:18:01.074Z,,55,,,22.3,,
2018-01-12T01:18:11.074Z,,55,40,,22.3,,
2018-01-12T01:18:21.074Z,,55,,,22.1,,
2018-01-12T01:18:31.076Z,,55,,,22.1,,
2018-01-12T01:18:41.075Z,,55,,,22.1,,
2018-01-12T01:18:51.074Z,,55,,,22.1,,
2018-01-12T01:19:01.079Z,,55,,,22.1,,
2018-01-12T01:19:11.074Z,,55,40,,22.1,,
2018-01-12T01:19:21.074Z,,55,39.9,,22.1,,
2018-01-12T01:19:31.074Z,,55,,,22.1,,
2018-01-12T01:19:41.074Z,,55,,,22.1,,
2018-01-12T01:19:51.074Z,,55,,,22.1,,
2018-01-12T01:20:01.076Z,,55,,,22.1,,
2018-01-12T01:20:11.074Z,,55,,,22.1,,
2018-01-12T01:20:21.074Z,,55,,,22.1,,
2018-01-12T01:20:31.075Z,,55,39.8,,22.1,,
