Time,ActPow,HwActive,PrimT,PrimTSet,HwTOutlet,HwTSet,ChActive
2017-12-20T01:11:03.467Z,,,47.6,,41.7,55,
2017-12-20T01:11:23.466Z,,,,,41.6,55,
2017-12-20T01:11:33.466Z,,,,,41.6,55,
2017-12-20T01:11:43.467Z,,,47.7,,,,
2017-12-20T01:11:53.466Z,,,,,41.5,55,
2017-12-20T01:12:03.703Z,,,,,41.4,55,
2017-12-20T01:12:13.466Z,,,47.8,,,,
2017-12-20T01:12:23.466Z,,,,,41.2,55,
2017-12-20T01:12:33.466Z,,,,,41.2,55,
2017-12-20T01:12:43.466Z,,,,,41.1,55,
2017-12-20T01:12:53.465Z,,,48,,41.1,55,
2017-12-20T01:13:13.466Z,,,,,41,55,
2017-12-20T01:13:23.466Z,,,,,40.9,55,
2017-12-20T01:13:33.466Z,,,,,40.9,55,
2017-12-20T01:13:43.466Z,,,,,40.8,55,
2017-12-20T01:13:53.466Z,,,,,40.8,55,
2017-12-20T01:14:03.467Z,,,,,40.7,55,
2017-12-20T01:14:13.466Z,,,48.1,,,,
2017-12-20T01:14:23.466Z,,,,,40.6,55,
2017-12-20T01:14:33.467Z,,,,,40.6,55,
2017-12-20T01:14:53.467Z,,,,,40.5,55,
2017-12-20T01:15:03.467Z,,,,,40.3,55,
2017-12-20T01:15:23.466Z,,,,,40.2,55,
2017-12-20T01:15:33.514Z,,,,,40.2,55,
2017-12-20T01:15:54.462Z,,,,,40.1,55,
2017-12-20T01:16:03.466Z,,,,,40.1,55,
2017-12-20T01:16:23.466Z,,,,,40,55,
2017-12-20T01:16:33.468Z,,,,,39.9,55,
2017-12-20T01:16:53.467Z,,,,,39.8,55,
2017-12-20T01:17:03.469Z,,,,,39.8,55,
2017-12-20T01:17:23.466Z,,,,,39.6,55,
2017-12-20T01:17:43.466Z,,,,,39.5,55,
2017-12-20T01:17:53.467Z,,,,,39.4,55,
2017-12-20T01:18:03.468Z,,,,,39.4,55,
2017-12-20T01:18:23.466Z,,,,,39.3,55,
2017-12-20T01:18:33.466Z,,,,,39.3,55,
2017-12-20T01:18:53.467Z,,,,,39.1,55,
2017-12-20T01:19:03.467Z,,,,,39.1,55,
2017-12-20T01:19:23.467Z,,,48,,39,55,
2017-12-20T01:19:33.467Z,,,48.1,,38.9,55,
2017-12-20T01:19:43.467Z,,,48,,,,
2017-12-20T01:19:53.467Z,,,,,38.9,55,
