Time,ChActive,HwActive,HwTSet,HwTOutlet,PrimTSet,PrimT,ActPow
2017-12-21T01:11:28.662Z,,,54,21.6,,33.1,
2017-12-21T01:11:38.664Z,,,54,21.7,,33.3,
2017-12-21T01:11:48.662Z,,,54,22,,33.5,
2017-12-21T01:11:58.662Z,,,54,22.2,,33.6,
2017-12-21T01:12:08.762Z,,,54,22.5,,33.7,
2017-12-21T01:12:18.665Z,,,54,22.6,,34,
2017-12-21T01:12:28.663Z,,,54,22.8,,,30
2017-12-21T01:12:38.663Z,,,54,23,,34.2,29
2017-12-21T01:12:48.661Z,,,54,23.1,,34.4,
2017-12-21T01:12:58.663Z,,,54,23.2,,34.6,
2017-12-21T01:13:08.765Z,,,54,23.3,,34.8,
2017-12-21T01:13:18.664Z,1,0,54,23.4,,33.7,0
2017-12-21T01:13:28.664Z,,,54,23.6,,31.9,
2017-12-21T01:13:38.664Z,,,54,23.7,,31.4,
2017-12-21T01:13:48.665Z,,,54,23.8,,30.8,
2017-12-21T01:13:58.661Z,,,54,23.8,,29.9,
2017-12-21T01:14:08.784Z,,,,,,29.6,
2017-12-21T01:14:18.663Z,,,54,23.8,,28.9,
2017-12-21T01:14:28.663Z,,,54,23.9,,28.8,
2017-12-21T01:14:38.664Z,,,54,23.9,,28.4,
2017-12-21T01:14:48.662Z,,,54,23.9,,28.1,
2017-12-21T01:14:58.661Z,,,54,23.8,,27.8,
2017-12-21T01:15:08.768Z,,,54,23.8,,27.5,
2017-12-21T01:15:18.666Z,,,54,23.8,,27.3,
2017-12-21T01:15:28.665Z,,,54,23.8,,27.1,
2017-12-21T01:15:38.666Z,,,54,23.8,,26.9,
2017-12-21T01:15:48.666Z,,,54,23.8,,26.7,
2017-12-21T01:15:58.666Z,,,54,23.8,,26.6,
2017-12-21T01:16:08.759Z,,,54,23.8,,26.5,
2017-12-21T01:16:18.667Z,,,54,23.7,,26.4,
2017-12-21T01:16:28.666Z,,,54,23.7,,,
2017-12-21T01:16:38.667Z,,,54,23.7,,,
2017-12-21T01:16:48.663Z,,,54,23.6,,,
2017-12-21T01:16:58.667Z,,,54,23.7,,,
