Time,PrimTSet,HwTOutlet,HwActive,HwTSet,ActPow,PrimT,ChActive
2017-12-15T01:04:04.227Z,,22.5,,54,,,
2017-12-15T01:04:13.757Z,,22.6,,54,,,
2017-12-15T01:04:23.761Z,,22.6,,54,,,
2017-12-15T01:04:33.757Z,,,,,,41.9,
2017-12-15T01:04:43.759Z,,22.8,,54,,,
2017-12-15T01:04:53.757Z,,23,,54,,42,
2017-12-15T01:05:03.854Z,,23.2,,54,,42.1,
2017-12-15T01:05:13.758Z,,23.2,,54,,,
2017-12-15T01:05:23.762Z,,23.2,,54,,42.3,
2017-12-15T01:05:33.758Z,,23.3,,54,,,
2017-12-15T01:05:43.759Z,,23.3,,54,,42.4,
2017-12-15T01:05:53.759Z,,23.4,,54,,42.6,
2017-12-15T01:06:03.862Z,,23.6,,54,,42.7,
2017-12-15T01:06:13.759Z,,23.8,,54,,42.9,
2017-12-15T01:06:23.761Z,,23.9,,54,30,,
2017-12-15T01:06:33.756Z,,24,,54,29,43.1,
2017-12-15T01:06:43.768Z,,24,,54,,43.2,
2017-12-15T01:06:53.761Z,,24,,54,,43.3,
2017-12-15T01:07:03.873Z,,24.2,,54,30,43.4,
2017-12-15T01:07:13.760Z,,24.3,,54,29,43.5,
2017-12-15T01:07:23.765Z,,24.3,,54,30,43.6,
2017-12-15T01:07:33.761Z,,,,,29,43.7,
2017-12-15T01:07:43.756Z,,24.4,,54,,43.8,
2017-12-15T01:07:53.758Z,,24.5,,54,,43.9,
2017-12-15T01:08:03.864Z,,24.7,0,54,0,43.3,2
2017-12-15T01:08:13.761Z,,,,,,41.1,
2017-12-15T01:08:23.766Z,,24.8,,54,,40.4,
2017-12-15T01:08:33.758Z,,24.9,,54,,39.8,
2017-12-15T01:08:43.763Z,,24.8,,54,,39.1,
2017-12-15T01:08:53.762Z,,24.5,,54,,38.6,
2017-12-15T01:09:03.867Z,,24.2,,54,,38.1,
2017-12-15T01:09:13.761Z,,,,,,37.8,
2017-12-15T01:09:23.768Z,,23.9,,54,,37.4,
2017-12-15T01:09:33.760Z,,23.9,,54,,37.1,
2017-12-15T01:09:43.759Z,,,,,,36.8,
2017-12-15T01:09:53.763Z,,23.9,,54,,36.5,
2017-12-15T01:10:03.861Z,,23.7,,54,,,
2017-12-15T01:10:13.759Z,,,,,,36.2,
2017-12-15T01:10:23.769Z,,23.4,,54,,36,
2017-12-15T01:10:33.758Z,,23.3,,54,,35.8,
2017-12-15T01:10:43.760Z,,23.3,,54,,35.7,
2017-12-15T01:10:53.761Z,,23.3,,54,,35.5,
2017-12-15T01:11:13.765Z,,23.3,,54,,,
2017-12-15T01:11:23.763Z,,23.1,,54,,,
2017-12-15T01:11:33.765Z,,23,,54,,35.4,
2017-12-15T01:11:43.765Z,,23.1,,54,,,
2017-12-15T01:11:53.764Z,,23,,54,,,
2017-12-15T01:12:03.866Z,,22.7,,54,,,
2017-12-15T01:12:23.770Z,,22.1,,54,,,
2017-12-15T01:12:33.763Z,,21.9,,54,,,
2017-12-15T01:12:43.760Z,,21.6,,54,,,
2017-12-15T01:12:53.762Z,,21.3,,54,,,
2017-12-15T01:13:03.863Z,,21.2,,54,,,
2017-12-15T01:13:13.764Z,,20.9,,54,,,
2017-12-15T01:13:23.765Z,,20.8,,54,,35.5,
2017-12-15T01:13:43.766Z,,20.4,,54,,35.6,
2017-12-15T01:13:53.764Z,,20.1,,54,,,
2017-12-15T01:14:03.887Z,,20,,54,,35.7,
2017-12-15T01:14:13.764Z,,19.8,,54,,,
2017-12-15T01:14:23.769Z,,19.7,,54,,,
2017-12-15T01:14:33.764Z,,19.6,,54,,35.8,
2017-12-15T01:14:43.769Z,,19.4,,54,,,
2017-12-15T01:14:53.762Z,,19.4,,54,,,
2017-12-15T01:15:03.861Z,,19.3,,54,,35.9,
2017-12-15T01:15:13.769Z,,,,,,36,
2017-12-15T01:15:23.763Z,,19,,54,,,
2017-12-15T01:15:33.763Z,,19,,54,,,
2017-12-15T01:15:53.764Z,,18.8,,54,,36.1,
2017-12-15T01:16:03.865Z,,18.8,,54,,,
2017-12-15T01:16:23.768Z,,18.5,,54,,,
2017-12-15T01:16:33.766Z,,18.5,,54,,,
2017-12-15T01:16:43.765Z,,18.4,,54,,,
2017-12-15T01:17:03.862Z,,18.2,,54,,,
2017-12-15T01:17:13.767Z,,18.2,,54,,,
2017-12-15T01:17:23.762Z,,18.1,,54,,,
2017-12-15T01:17:33.763Z,,18.1,,54,,,
2017-12-15T01:17:43.770Z,,18.1,,54,,,
2017-12-15T01:17:53.762Z,,17.9,,54,,,
2017-12-15T01:18:13.763Z,,17.8,,54,,,
2017-12-15T01:18:23.773Z,,17.8,,54,,,
2017-12-15T01:18:43.765Z,,17.7,,54,,,
2017-12-15T01:18:53.770Z,,17.7,,54,,,
2017-12-15T01:19:13.765Z,,17.5,,54,,,
2017-12-15T01:19:23.770Z,,17.5,,54,,,
2017-12-15T01:19:33.767Z,,,,,,36,
