Time,PrimTSet,HwTOutlet,HwTSet,PrimT,HwActive,ActPow,ChActive
2017-12-28T01:06:06.419Z,,32.2,54,,,,
2017-12-28T01:06:16.416Z,,32.1,54,36.6,,,
2017-12-28T01:06:26.418Z,,32,54,,,,
2017-12-28T01:06:36.421Z,,31.9,54,,,,
2017-12-28T01:06:46.415Z,,31.9,54,36.7,,,
2017-12-28T01:06:56.419Z,,31.8,54,,,,
2017-12-28T01:07:06.419Z,,31.6,54,,,,
2017-12-28T01:07:16.418Z,,31.5,54,,,,
2017-12-28T01:07:26.421Z,,31.4,54,36.8,,,
2017-12-28T01:07:36.422Z,,31.3,54,,,,
2017-12-28T01:07:46.423Z,,31.2,54,,,,
2017-12-28T01:07:56.422Z,,31,54,,,,
2017-12-28T01:08:06.424Z,,30.9,54,,,,
2017-12-28T01:08:16.419Z,,30.9,54,,,,
2017-12-28T01:08:26.424Z,,30.8,54,,,,
2017-12-28T01:08:36.424Z,,30.7,54,,,,
2017-12-28T01:08:46.422Z,,30.6,54,,,,
2017-12-28T01:08:56.420Z,,30.4,54,,,,
2017-12-28T01:09:06.417Z,,30.3,54,,,,
2017-12-28T01:09:16.427Z,,30.3,54,,,,
2017-12-28T01:09:26.419Z,,30.2,54,,,,
2017-12-28T01:09:36.425Z,,30.1,54,,,,
2017-12-28T01:09:46.420Z,,30.1,54,,,,
2017-12-28T01:09:56.421Z,,30,54,,,,
2017-12-28T01:10:06.426Z,,29.8,54,,,,
2017-12-28T01:10:16.422Z,,29.7,54,,,,
2017-12-28T01:10:26.422Z,,29.7,54,36.7,,,
2017-12-28T01:10:36.430Z,,29.6,54,,,,
2017-12-28T01:10:46.424Z,,29.5,54,,,,
2017-12-28T01:10:56.423Z,,29.5,54,,,,
2017-12-28T01:11:06.418Z,,29.3,54,38.5,0,43,1
2017-12-28T01:11:16.426Z,,29.2,54,42.1,,33,
2017-12-28T01:11:26.423Z,,29.2,54,40.8,,30,
2017-12-28T01:11:36.713Z,,29.1,54,40,,29,
2017-12-28T01:11:46.419Z,,29.1,54,41,,,
2017-12-28T01:11:56.424Z,,29.1,54,40.9,,,
2017-12-28T01:12:06.445Z,,29.1,54,41,,30,
2017-12-28T01:12:16.438Z,,29.2,54,40.9,,29,
2017-12-28T01:12:26.423Z,,29.3,54,,,,
2017-12-28T01:12:36.426Z,,29.5,54,41,,,
2017-12-28T01:12:46.419Z,,29.6,54,,,,
2017-12-28T01:12:56.418Z,,29.7,54,,,,
2017-12-28T01:13:06.418Z,,29.8,54,41.1,,,
2017-12-28T01:13:16.419Z,,30,54,,,,
2017-12-28T01:13:26.421Z,,30.2,54,,,,
2017-12-28T01:13:36.428Z,,30.3,54,41,,,
2017-12-28T01:13:46.421Z,,30.3,54,40.9,,,
2017-12-28T01:13:56.420Z,,30.4,54,,,,
2017-12-28T01:14:06.421Z,,30.6,54,41,,,
2017-12-28T01:14:16.420Z,,30.6,54,,,,
2017-12-28T01:14:26.422Z,,30.7,54,41.1,,,
2017-12-28T01:14:36.429Z,,30.7,54,41.2,,,
2017-12-28T01:14:46.427Z,,30.8,54,41.3,,,
2017-12-28T01:14:56.429Z,,30.8,54,41.4,,30,
2017-12-28T01:15:06.420Z,,30.8,54,,,29,
2017-12-28T01:15:16.422Z,,30.9,54,41.6,,,
2017-12-28T01:15:26.423Z,,30.9,54,41.7,,,
2017-12-28T01:15:36.426Z,,31,54,41.8,,,
2017-12-28T01:15:46.424Z,,31,54,42,,,
2017-12-28T01:15:56.422Z,,31.2,54,,,,
2017-12-28T01:16:06.422Z,,31.2,54,42.1,,30,
2017-12-28T01:16:16.421Z,,31.2,54,42.2,,29,
2017-12-28T01:16:26.427Z,,31.3,54,42.3,,,
2017-12-28T01:16:36.432Z,,31.3,54,42.6,,,
2017-12-28T01:16:46.423Z,,31.4,54,42.7,,,
2017-12-28T01:16:56.432Z,,31.4,54,,,,
2017-12-28T01:17:06.427Z,,31.5,54,42.8,,,
2017-12-28T01:17:16.423Z,,31.5,54,42.9,,,
2017-12-28T01:17:26.427Z,,31.6,54,43,,,
2017-12-28T01:17:36.421Z,,31.8,54,43.1,,30,
2017-12-28T01:17:46.433Z,,31.9,54,43.2,,29,
2017-12-28T01:17:56.428Z,,31.9,54,43.3,,,
2017-12-28T01:18:06.423Z,,32,54,43.4,,,
2017-12-28T01:18:16.424Z,,32.1,54,43.5,,,
2017-12-28T01:18:26.424Z,,32.2,54,43.6,,,
2017-12-28T01:18:36.427Z,,32.3,54,43.7,,,
2017-12-28T01:18:46.425Z,,32.3,54,43.8,,,
