Time,HwTSet,PrimTSet,HwActive,ChActive,ActPow,HwTOutlet,PrimT
2017-12-30T01:04:03.056Z,54,,,,,31.6,
2017-12-30T01:04:13.055Z,54,,,,,31.6,
2017-12-30T01:04:23.056Z,54,,,,,31.6,
2017-12-30T01:04:33.062Z,54,,,,,31.6,
2017-12-30T01:04:43.058Z,54,,,,,31.6,
2017-12-30T01:04:53.063Z,54,,,,,31.5,
2017-12-30T01:05:03.058Z,54,,,,,31.5,
2017-12-30T01:05:13.055Z,54,,,,,31.4,
2017-12-30T01:05:23.063Z,54,,,,,31.4,
2017-12-30T01:05:33.082Z,54,,,,,31.3,
2017-12-30T01:05:43.058Z,54,,,,,31.3,34.5
2017-12-30T01:05:53.087Z,54,,,,,31.2,
2017-12-30T01:06:03.056Z,54,,,,,31.2,
2017-12-30T01:06:13.056Z,54,,,,,31,
2017-12-30T01:06:23.063Z,54,,,,,30.9,
2017-12-30T01:06:33.062Z,54,,,,,30.9,34.6
2017-12-30T01:06:43.060Z,54,,,,,30.8,
2017-12-30T01:06:53.308Z,54,,,,,30.7,34.7
2017-12-30T01:07:03.056Z,54,,,,,30.7,
2017-12-30T01:07:13.060Z,54,,,,,30.6,
2017-12-30T01:07:23.071Z,54,,,,,30.4,
2017-12-30T01:07:33.073Z,54,,,,,30.3,34.8
2017-12-30T01:07:43.062Z,54,,,,,30.3,
2017-12-30T01:07:53.072Z,54,,,,,30.2,
2017-12-30T01:08:03.063Z,54,,,,,30.1,
2017-12-30T01:08:13.062Z,54,,,,,30.1,34.9
2017-12-30T01:08:23.063Z,54,,,,,30,
2017-12-30T01:08:33.064Z,54,,,,,29.8,
2017-12-30T01:08:43.059Z,54,,,,,29.8,
2017-12-30T01:08:53.067Z,54,,,,,29.7,
2017-12-30T01:09:03.064Z,54,,,,,29.6,
2017-12-30T01:09:13.058Z,54,,,,,29.5,
2017-12-30T01:09:23.059Z,54,,,,,29.5,34.9
2017-12-30T01:09:33.060Z,54,,,,,29.3,34.9
2017-12-30T01:09:43.066Z,54,,,,,29.2,35.1
2017-12-30T01:09:53.067Z,54,,,,,29.2,34.9
2017-12-30T01:10:03.062Z,54,,,,,29.1,35.1
2017-12-30T01:10:13.068Z,54,,,,,29.1,
2017-12-30T01:10:23.065Z,54,,,,,29,34.9
2017-12-30T01:10:33.067Z,54,,0,2,42,28.9,37.5
2017-12-30T01:10:43.065Z,54,,,,35,28.9,40
2017-12-30T01:10:53.073Z,54,,,,29,28.7,38.9
2017-12-30T01:11:03.066Z,54,,,,29,28.6,39.1
2017-12-30T01:11:13.061Z,54,,,,,28.6,39.5
2017-12-30T01:11:23.066Z,54,,,,30,28.6,39.7
2017-12-30T01:11:33.066Z,54,,,,29,28.7,39.8
2017-12-30T01:11:43.061Z,54,,,,29,28.7,40
2017-12-30T01:11:53.059Z,54,,,,,28.9,
2017-12-30T01:12:03.060Z,54,,,,,29,40.1
2017-12-30T01:12:13.060Z,54,,,,,29.1,40.2
2017-12-30T01:12:23.061Z,54,,,,,29.2,40.3
2017-12-30T01:12:33.062Z,54,,,,,29.3,40.4
2017-12-30T01:12:43.064Z,54,,,,,29.5,
2017-12-30T01:12:53.073Z,54,,,,,29.6,40.5
2017-12-30T01:13:03.064Z,54,,,,,29.7,
2017-12-30T01:13:13.059Z,54,,,,,29.8,40.4
2017-12-30T01:13:23.065Z,54,,,,,29.8,
2017-12-30T01:13:33.066Z,54,,,,,30,
2017-12-30T01:13:43.063Z,54,,,,,30,
2017-12-30T01:13:53.065Z,54,,,,,30.1,40.5
2017-12-30T01:14:03.068Z,54,,,,,30.1,40.6
2017-12-30T01:14:13.066Z,54,,,,,30.2,40.7
2017-12-30T01:14:23.061Z,54,,,,,30.2,40.8
2017-12-30T01:14:33.070Z,54,,,,,30.3,41
2017-12-30T01:14:43.060Z,54,,,,,30.3,
2017-12-30T01:14:53.066Z,54,,,,,30.4,41.1
2017-12-30T01:15:03.061Z,54,,,,,30.4,41.2
2017-12-30T01:15:13.068Z,54,,,,,30.6,41.3
2017-12-30T01:15:23.061Z,54,,,,,30.6,41.4
2017-12-30T01:15:33.061Z,54,,,,,30.7,41.6
2017-12-30T01:15:43.065Z,54,,,,,30.7,41.7
2017-12-30T01:15:53.067Z,54,,,,,30.8,41.8
2017-12-30T01:16:03.061Z,54,,,,,30.8,42
2017-12-30T01:16:13.062Z,54,,,,,30.9,
2017-12-30T01:16:23.063Z,54,,,,,31,42.1
2017-12-30T01:16:33.076Z,54,,,,,31,42.2
2017-12-30T01:16:43.062Z,54,,,,,31.2,42.3
2017-12-30T01:16:53.067Z,54,,,,,31.3,42.4
2017-12-30T01:17:03.068Z,54,,,,,31.3,42.6
2017-12-30T01:17:13.088Z,54,,,,,31.4,42.7
2017-12-30T01:17:23.067Z,54,,,,,31.5,42.8
2017-12-30T01:17:33.071Z,54,,,,,31.5,43
2017-12-30T01:17:43.063Z,54,,,,,31.6,
2017-12-30T01:17:53.077Z,54,,0,2,0,31.6,41.9
2017-12-30T01:18:03.063Z,54,,,,,31.8,40.8
2017-12-30T01:18:13.067Z,54,,,,,31.9,39.8
2017-12-30T01:18:23.064Z,54,,,,,31.9,38.9
2017-12-30T01:18:33.064Z,54,,,,,31.9,38.5
2017-12-30T01:18:43.064Z,54,,,,,32,37.9
2017-12-30T01:18:53.065Z,54,,,,,32,37.5
