Time,PrimT,PrimTSet,HwActive,HwTOutlet,ActPow,ChActive,HwTSet
2018-01-29T01:11:38.793Z,37.5,,,32.1,,,54
2018-01-29T01:11:48.663Z,36.9,,,32.1,,,54
2018-01-29T01:11:58.645Z,36.5,,,32.2,,,54
2018-01-29T01:12:08.652Z,36.2,,,32.2,,,54
2018-01-29T01:12:18.666Z,35.9,,,32.3,,,54
2018-01-29T01:12:28.642Z,35.6,,,32.3,,,54
2018-01-29T01:12:38.778Z,35.3,,,32.3,,,54
2018-01-29T01:12:48.678Z,35.1,,,32.3,,,54
2018-01-29T01:12:58.645Z,34.8,,,32.4,,,54
2018-01-29T01:13:08.672Z,34.7,,,32.4,,,54
2018-01-29T01:13:18.645Z,34.5,,,32.4,,,54
2018-01-29T01:13:28.667Z,34.4,,,32.4,,,54
2018-01-29T01:13:38.752Z,34.3,,,32.4,,,54
2018-01-29T01:13:48.638Z,34.2,,,32.4,,,54
2018-01-29T01:13:58.639Z,,,,32.3,,,54
2018-01-29T01:14:08.643Z,,,,32.3,,,54
2018-01-29T01:14:18.686Z,,,,32.3,,,54
2018-01-29T01:14:28.655Z,34.1,,,32.3,,,54
2018-01-29T01:14:38.742Z,,,,32.3,,,54
2018-01-29T01:14:48.643Z,,,,32.3,,,54
2018-01-29T01:14:58.653Z,,,,32.3,,,54
2018-01-29T01:15:08.655Z,,,,32.3,,,54
2018-01-29T01:15:18.641Z,,,,32.3,,,54
2018-01-29T01:15:28.658Z,,,,32.3,,,54
2018-01-29T01:15:38.755Z,,,,32.3,,,54
2018-01-29T01:15:48.640Z,,,,32.3,,,54
2018-01-29T01:15:58.694Z,,,,32.2,,,54
2018-01-29T01:16:08.683Z,,,,32.2,,,54
2018-01-29T01:16:18.649Z,,,,32.2,,,54
2018-01-29T01:16:28.673Z,,,,32.2,,,54
2018-01-29T01:16:38.799Z,34.2,,,32.2,,,54
2018-01-29T01:16:48.696Z,,,,32.2,,,54
2018-01-29T01:16:58.676Z,,,,32.1,,,54
2018-01-29T01:17:08.662Z,,,,32.1,,,54
2018-01-29T01:17:18.639Z,,,,32.1,,,54
2018-01-29T01:17:28.694Z,34.3,,,32.1,,,54
2018-01-29T01:17:38.810Z,,,,32,,,54
2018-01-29T01:17:48.647Z,,,,32,,,54
2018-01-29T01:17:58.671Z,34.4,,,32,,,54
2018-01-29T01:18:08.711Z,,,,31.9,,,54
2018-01-29T01:18:18.646Z,,,,31.9,,,54
2018-01-29T01:18:28.648Z,,,,31.9,,,54
