Time,HwActive,PrimT,ActPow,ChActive,HwTSet,PrimTSet,HwTOutlet
2017-12-26T01:03:42.771Z,,,,,54,,26.8
2017-12-26T01:03:52.773Z,,37.6,,,54,,26.9
2017-12-26T01:04:02.769Z,,37.7,,,54,,26.9
2017-12-26T01:04:12.772Z,,37.9,,,,,
2017-12-26T01:04:22.772Z,,38,,,54,,27.1
2017-12-26T01:04:32.774Z,,38.1,,,54,,27.2
2017-12-26T01:04:42.773Z,,38.3,30,,54,,27.3
2017-12-26T01:04:52.770Z,,38.4,29,,54,,27.3
2017-12-26T01:05:02.774Z,,38.5,,,54,,27.4
2017-12-26T01:05:12.776Z,,38.7,,,54,,27.4
2017-12-26T01:05:22.774Z,,38.8,,,54,,27.5
2017-12-26T01:05:32.775Z,,39.1,,,54,,27.5
2017-12-26T01:05:42.771Z,,39.2,,,54,,27.7
2017-12-26T01:05:52.772Z,,39.3,,,54,,27.7
2017-12-26T01:06:02.770Z,,39.5,,,54,,27.8
2017-12-26T01:06:12.776Z,,39.6,,,54,,27.8
2017-12-26T01:06:22.773Z,,39.7,,,54,,27.9
2017-12-26T01:06:32.770Z,,39.8,,,54,,28
2017-12-26T01:06:42.779Z,,40,,,54,,28.1
2017-12-26T01:06:52.772Z,0,40,0,1,54,,28.3
2017-12-26T01:07:02.774Z,,37.7,,,54,,28.3
2017-12-26T01:07:12.785Z,,36.5,,,54,,28.4
2017-12-26T01:07:22.774Z,,35.9,,,54,,28.5
2017-12-26T01:07:32.775Z,,35.3,,,54,,28.6
2017-12-26T01:07:42.787Z,,34.7,,,54,,28.6
2017-12-26T01:07:52.776Z,,34.3,,,54,,28.7
2017-12-26T01:08:02.776Z,,33.9,,,54,,28.7
2017-12-26T01:08:12.775Z,,33.7,,,,,
2017-12-26T01:08:22.793Z,,33.4,,,54,,28.9
2017-12-26T01:08:32.779Z,,33.1,,,54,,28.9
2017-12-26T01:08:42.773Z,,32.8,,,54,,28.9
2017-12-26T01:08:52.779Z,,32.6,,,54,,28.9
2017-12-26T01:09:02.780Z,,32.4,,,54,,28.9
2017-12-26T01:09:12.776Z,,32.2,,,54,,28.9
2017-12-26T01:09:22.774Z,,32.1,,,54,,28.9
2017-12-26T01:09:32.773Z,,31.9,,,54,,28.9
2017-12-26T01:09:42.774Z,,31.8,,,54,,28.9
2017-12-26T01:09:52.775Z,,31.7,,,54,,28.9
2017-12-26T01:10:02.775Z,,,,,54,,28.9
2017-12-26T01:10:12.774Z,,,,,54,,28.9
2017-12-26T01:10:22.776Z,,,,,54,,28.9
2017-12-26T01:10:32.777Z,,,,,54,,28.9
2017-12-26T01:10:42.774Z,,,,,54,,28.9
2017-12-26T01:10:52.773Z,,,,,54,,28.9
2017-12-26T01:11:02.778Z,,,,,54,,28.9
2017-12-26T01:11:12.778Z,,31.6,,,54,,28.9
2017-12-26T01:11:22.775Z,,,,,54,,28.9
2017-12-26T01:11:32.781Z,,,,,54,,28.9
2017-12-26T01:11:42.781Z,,,,,54,,28.9
2017-12-26T01:11:52.778Z,,,,,54,,28.9
2017-12-26T01:12:02.782Z,,,,,54,,28.7
2017-12-26T01:12:12.781Z,,,,,54,,28.7
2017-12-26T01:12:22.808Z,,31.7,,,54,,28.7
2017-12-26T01:12:32.782Z,,,,,54,,28.6
2017-12-26T01:12:42.775Z,,,,,54,,28.6
2017-12-26T01:12:52.773Z,,,,,54,,28.6
2017-12-26T01:13:02.777Z,,,,,54,,28.5
2017-12-26T01:13:12.781Z,,,,,54,,28.5
2017-12-26T01:13:22.774Z,,,,,54,,28.5
2017-12-26T01:13:32.789Z,,,,,54,,28.4
2017-12-26T01:13:42.775Z,,31.8,,,54,,28.4
2017-12-26T01:13:52.780Z,,,,,54,,28.3
2017-12-26T01:14:02.780Z,,,,,54,,28.3
2017-12-26T01:14:12.781Z,,,,,54,,28.3
2017-12-26T01:14:22.779Z,,31.9,,,54,,28.1
2017-12-26T01:14:32.774Z,,,,,54,,28.1
2017-12-26T01:14:42.779Z,,,,,54,,28
2017-12-26T01:14:52.775Z,,,,,54,,28
2017-12-26T01:15:02.785Z,,31.9,,,54,,27.9
2017-12-26T01:15:12.781Z,,32,,,,,
2017-12-26T01:15:22.779Z,,,,,54,,27.8
2017-12-26T01:15:32.776Z,,,,,54,,27.8
2017-12-26T01:15:42.778Z,,,,,54,,27.7
2017-12-26T01:15:52.779Z,,,,,54,,27.7
2017-12-26T01:16:02.781Z,,,,,54,,27.5
2017-12-26T01:16:12.776Z,,,,,54,,27.5
2017-12-26T01:16:22.790Z,0,32.1,0,1,54,61,27.4
2017-12-26T01:16:32.777Z,,,,,54,,27.3
2017-12-26T01:16:42.777Z,,,,,54,,27.3
2017-12-26T01:16:52.778Z,,,,,54,,27.3
2017-12-26T01:17:02.777Z,,,,,54,,27.2
2017-12-26T01:17:12.778Z,,,,,54,,27.1
2017-12-26T01:17:22.783Z,,,,,54,,27.1
2017-12-26T01:17:32.778Z,,,,,54,,26.9
2017-12-26T01:17:42.778Z,,,,,54,,26.9
