Time,HwActive,ActPow,HwTSet,PrimT,PrimTSet,ChActive,HwTOutlet
2017-11-11T01:09:05.652Z,,,54,59.8,,,31
2017-11-11T01:09:15.741Z,,,54,60.2,,,30.9
2017-11-11T01:09:25.656Z,,,54,60.7,,,31
2017-11-11T01:09:35.653Z,,,54,61.1,,,31
2017-11-11T01:09:45.654Z,,,54,61.4,,,31
2017-11-11T01:10:00.744Z,,30,54,61.6,,,31.2
2017-11-11T01:10:05.653Z,,29,54,62,,,31.3
2017-11-11T01:10:15.774Z,,,54,62.1,,,31.4
2017-11-11T01:10:25.655Z,,,54,62.2,,,31.4
2017-11-11T01:10:35.651Z,,30,54,62.5,,,31.5
2017-11-11T01:10:45.659Z,,,54,62.6,,,31.5
2017-11-11T01:10:55.656Z,,29,54,62.8,,,31.6
2017-11-11T01:11:05.655Z,,,54,63.1,,,31.5
2017-11-11T01:11:15.873Z,,,54,63.2,,,31.4
2017-11-11T01:11:25.662Z,,,54,63.3,,,31.4
2017-11-11T01:11:35.656Z,,,54,63.5,,,31.6
2017-11-11T01:11:45.653Z,,,54,63.6,,,31.5
2017-11-11T01:11:55.660Z,,,54,63.8,,,31.9
2017-11-11T01:12:05.655Z,,,54,64,,,31.6
2017-11-11T01:12:15.745Z,,,54,64.1,,,31.9
2017-11-11T01:12:25.657Z,,,54,64.2,,,31.8
2017-11-11T01:12:35.656Z,,,54,64.4,,,31.8
2017-11-11T01:12:50.756Z,,,54,64.6,,,31.8
2017-11-11T01:12:55.658Z,,,54,64.7,,,31.9
2017-11-11T01:13:05.658Z,,30,54,64.8,,,32.1
2017-11-11T01:13:15.760Z,0,0,54,64.8,,2,32.1
2017-11-11T01:13:25.659Z,,,54,61.9,,,32.1
2017-11-11T01:13:35.657Z,,,54,60.9,,,32.1
2017-11-11T01:13:46.325Z,,,54,59.9,,,32
2017-11-11T01:13:55.660Z,,,54,58.9,,,31.8
2017-11-11T01:14:05.691Z,,,54,58.3,,,31.6
