Time,ChActive,HwTOutlet,ActPow,PrimTSet,HwTSet,PrimT,HwActive
2018-01-11T01:02:03.028Z,,19.7,,,54,34.6,
2018-01-11T01:02:12.831Z,,19.7,,,54,34.5,
2018-01-11T01:02:22.857Z,,19.7,,,54,,
2018-01-11T01:02:32.760Z,,19.7,,,54,34.4,
2018-01-11T01:02:42.826Z,,19.7,,,54,,
2018-01-11T01:02:52.863Z,,19.7,,,54,34.3,
2018-01-11T01:03:02.895Z,,19.7,,,54,,
2018-01-11T01:03:17.854Z,,19.6,,,54,34.2,
2018-01-11T01:03:22.769Z,,19.6,,,54,,
2018-01-11T01:03:32.794Z,,19.4,,,54,34.1,
2018-01-11T01:03:42.817Z,,19.4,,,54,34,
2018-01-11T01:03:57.876Z,,19.6,,,54,34,
2018-01-11T01:04:02.757Z,,19.6,,,54,33.9,
2018-01-11T01:04:12.758Z,,19.4,,,54,33.8,
2018-01-11T01:04:22.802Z,,19.4,,,54,33.7,
2018-01-11T01:04:32.803Z,,19.4,,,54,33.6,
2018-01-11T01:04:43.771Z,,19.3,,,54,33.5,
2018-01-11T01:04:52.763Z,,19.3,,,54,,
2018-01-11T01:05:02.779Z,,19.3,,,54,33.4,
2018-01-11T01:05:12.828Z,,19.2,,,54,33.3,
2018-01-11T01:05:22.793Z,,19.2,,,54,33.2,
2018-01-11T01:05:37.829Z,,19.2,,,54,,
2018-01-11T01:05:42.839Z,,19,,,54,,
2018-01-11T01:05:52.787Z,,19.2,,,54,,
2018-01-11T01:06:02.811Z,,19.2,,,54,,
2018-01-11T01:06:12.794Z,,19,,,54,,
2018-01-11T01:06:22.781Z,,18.9,,,54,33.1,
2018-01-11T01:06:32.813Z,,18.6,,,54,33.2,
2018-01-11T01:06:42.790Z,,18.4,,,54,,
2018-01-11T01:06:53.649Z,,18.1,,,54,33.1,
2018-01-11T01:07:02.790Z,,17.7,,,54,33.2,
2018-01-11T01:07:13.685Z,1,17.5,,,54,33.3,0
2018-01-11T01:07:22.800Z,,17.3,34,,54,39.4,
2018-01-11T01:07:32.871Z,,17.1,29,,54,38.9,
2018-01-11T01:07:42.853Z,,17.5,,,54,39.1,
2018-01-11T01:07:57.906Z,,18.8,29,,54,40.2,
2018-01-11T01:08:02.857Z,,18.9,,,54,40.7,
2018-01-11T01:08:13.646Z,,19.3,30,,54,41,
2018-01-11T01:08:22.975Z,,19.6,29,,54,41.3,
2018-01-11T01:08:32.794Z,,19.7,,,54,41.6,
2018-01-11T01:08:42.900Z,,19.8,,,54,41.8,
2018-01-11T01:08:53.735Z,,20,,,54,42,
2018-01-11T01:09:03.649Z,,20.1,30,,54,42.2,
2018-01-11T01:09:12.957Z,,20.1,29,,54,42.4,
2018-01-11T01:09:22.791Z,,20.4,,,54,42.6,
2018-01-11T01:09:33.647Z,,20.5,,,54,42.7,
2018-01-11T01:09:42.763Z,,20.6,30,,54,42.9,
2018-01-11T01:09:52.789Z,,20.8,29,,54,43,
2018-01-11T01:10:02.918Z,,20.9,30,,54,43.1,
2018-01-11T01:10:12.769Z,,20.9,29,,54,43.2,
2018-01-11T01:10:22.806Z,,21.1,,,54,43.3,
2018-01-11T01:10:33.642Z,,21.1,,,54,43.5,
2018-01-11T01:10:42.781Z,,21.3,,,54,43.6,
2018-01-11T01:10:52.779Z,,21.5,,,54,43.7,
2018-01-11T01:11:02.825Z,,21.5,,,54,43.8,
2018-01-11T01:11:12.880Z,,21.6,,,54,44,
2018-01-11T01:11:22.917Z,,21.7,,,54,44.1,
2018-01-11T01:11:32.934Z,,21.7,,,54,44.2,
2018-01-11T01:11:43.689Z,,21.9,,,54,44.3,
2018-01-11T01:11:58.003Z,,22,,,54,44.4,
2018-01-11T01:12:02.872Z,,22,,,54,44.5,
2018-01-11T01:12:13.659Z,,22.1,,,54,44.6,
2018-01-11T01:12:23.712Z,,22.2,,,54,44.7,
2018-01-11T01:12:32.767Z,,22.4,,,54,44.8,
2018-01-11T01:12:42.897Z,,22.4,,,54,44.9,
2018-01-11T01:12:52.874Z,1,22.4,29,61,54,45,0
2018-01-11T01:13:02.849Z,,22.4,,,54,45.1,
2018-01-11T01:13:12.868Z,,22.4,,,54,45.2,
2018-01-11T01:13:22.773Z,,22.5,,,54,45.3,
2018-01-11T01:13:32.777Z,,22.5,30,,54,45.4,
2018-01-11T01:13:42.787Z,,22.7,29,,54,45.5,
2018-01-11T01:13:53.649Z,,22.7,,,54,45.7,
2018-01-11T01:14:02.765Z,,22.8,,,54,45.8,
2018-01-11T01:14:12.883Z,,23,,,54,45.9,
2018-01-11T01:14:23.647Z,,23.1,,,54,46,
2018-01-11T01:14:32.765Z,,23.1,,,54,46.1,
2018-01-11T01:14:43.938Z,,23.1,,,54,46.2,
2018-01-11T01:14:52.791Z,,23.2,,,54,46.3,
2018-01-11T01:15:02.771Z,,23.2,,,54,46.4,
2018-01-11T01:15:12.817Z,,23.3,,,54,46.6,
2018-01-11T01:15:22.973Z,,23.3,,,54,46.7,
2018-01-11T01:15:32.769Z,1,23.6,0,,54,46.7,0
2018-01-11T01:15:42.825Z,,23.6,,,54,43.9,
2018-01-11T01:15:52.966Z,,23.3,,,54,42.9,
2018-01-11T01:16:02.828Z,,22.7,,,54,42.6,
