Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2018-01-10T01:01:16.964Z,,,,37.5,20.8,,54
2018-01-10T01:01:27.003Z,,,,36.9,20.6,,54
2018-01-10T01:01:36.934Z,,,,36.6,20.5,,54
2018-01-10T01:01:46.972Z,,,,36.3,20.5,,54
2018-01-10T01:01:56.956Z,,,,35.9,20.4,,54
2018-01-10T01:02:06.936Z,,,,35.7,20.2,,54
2018-01-10T01:02:16.927Z,,,,35.4,20.2,,54
2018-01-10T01:02:27.000Z,,,,35.2,20.1,,54
2018-01-10T01:02:36.940Z,,,,34.9,20,,54
2018-01-10T01:02:46.966Z,,,,34.8,20,,54
2018-01-10T01:02:57.010Z,,,,34.6,19.8,,54
2018-01-10T01:03:06.938Z,,,,34.5,19.7,,54
2018-01-10T01:03:16.927Z,,,,34.3,19.6,,54
2018-01-10T01:03:26.978Z,,,,,19.4,,54
2018-01-10T01:03:36.934Z,,,,,19.6,,54
2018-01-10T01:03:46.936Z,,,,,20,,54
2018-01-10T01:03:56.935Z,,,,,19.7,,54
2018-01-10T01:04:06.959Z,,,,,19.4,,54
2018-01-10T01:04:17.000Z,,,,,19,,54
2018-01-10T01:04:26.945Z,,,,,18.6,,54
2018-01-10T01:04:36.947Z,,,,,18.4,,54
2018-01-10T01:04:46.929Z,,,,,17.9,,54
2018-01-10T01:04:56.929Z,,,,,17.7,,54
2018-01-10T01:05:06.948Z,,,,,17.4,,54
2018-01-10T01:05:16.940Z,,,,,17.1,,54
2018-01-10T01:05:27.034Z,,,,34.4,16.8,,54
2018-01-10T01:05:36.961Z,,,,,16.7,,54
2018-01-10T01:05:46.998Z,,,,,16.5,,54
2018-01-10T01:05:56.944Z,,,,34.5,16.4,,54
2018-01-10T01:06:06.938Z,,,,,16.2,,54
2018-01-10T01:06:16.933Z,,,,34.6,15.9,,54
2018-01-10T01:06:26.943Z,,,,,15.7,,54
2018-01-10T01:06:36.961Z,,,,,15.6,,54
2018-01-10T01:06:46.992Z,,,,34.7,15.4,,54
2018-01-10T01:06:56.933Z,,,,,15.3,,54
2018-01-10T01:07:06.939Z,,,,34.8,15.3,,54
2018-01-10T01:07:16.946Z,,,,,15.3,,54
2018-01-10T01:07:26.938Z,,,,,15.1,,54
2018-01-10T01:07:36.963Z,,,,,15.1,,54
2018-01-10T01:07:46.949Z,,,,,15,,54
2018-01-10T01:07:56.940Z,,,,34.9,15,,54
2018-01-10T01:08:06.971Z,,,,,14.8,,54
2018-01-10T01:08:16.944Z,,,,,14.8,,54
2018-01-10T01:08:26.942Z,,,,,14.7,,54
2018-01-10T01:08:36.975Z,,,,,14.5,,54
2018-01-10T01:08:46.944Z,,,,,14.5,,54
2018-01-10T01:08:56.942Z,,,,,14.5,,54
2018-01-10T01:09:06.935Z,,,,,14.3,,54
2018-01-10T01:09:16.934Z,,,,,14.3,,54
2018-01-10T01:09:26.935Z,,,,,14.3,,54
2018-01-10T01:09:36.938Z,,,,,14.3,,54
2018-01-10T01:09:46.936Z,,,,,14.3,,54
2018-01-10T01:09:56.953Z,,,,,14.3,,54
2018-01-10T01:10:06.936Z,,,,,14.2,,54
2018-01-10T01:10:16.938Z,,,,34.8,14.2,,54
2018-01-10T01:10:26.940Z,,,,,14,,54
2018-01-10T01:10:36.996Z,,,,,14,,54
2018-01-10T01:10:46.973Z,,,,,13.9,,54
2018-01-10T01:10:56.943Z,1,0,0,34.8,13.9,61,54
2018-01-10T01:11:06.996Z,,,,,13.9,,54
2018-01-10T01:11:17.016Z,,,,,13.9,,54
2018-01-10T01:11:26.964Z,,,,,13.9,,54
2018-01-10T01:11:36.975Z,,,,,14,,54
2018-01-10T01:11:46.938Z,,,,,14,,54
2018-01-10T01:11:56.936Z,,,,34.7,14,,54
2018-01-10T01:12:06.988Z,,,,,13.9,,54
2018-01-10T01:12:16.940Z,,,,,13.9,,54
2018-01-10T01:12:26.937Z,,,,,13.9,,54
2018-01-10T01:12:36.968Z,,,,,13.7,,54
2018-01-10T01:12:47.002Z,,,,,13.7,,54
2018-01-10T01:12:56.939Z,,,,,13.6,,54
2018-01-10T01:13:07.011Z,,,,34.6,13.6,,54
2018-01-10T01:13:17.040Z,,,,,13.6,,54
2018-01-10T01:13:26.946Z,1,45,0,35.2,13.6,,54
2018-01-10T01:13:37.019Z,,31,,40,13.6,,54
2018-01-10T01:13:46.939Z,,29,,38.9,13.7,,54
2018-01-10T01:13:56.939Z,,,,39.2,14.2,,54
2018-01-10T01:14:07.011Z,,,,39.3,15.6,,54
2018-01-10T01:14:16.947Z,,,,39.7,16.4,,54
2018-01-10T01:14:26.991Z,,,,40,17,,54
2018-01-10T01:14:37.008Z,,,,,17.5,,54
2018-01-10T01:14:47.049Z,,,,40.1,17.9,,54
2018-01-10T01:14:56.939Z,,,,40.2,18.4,,54
2018-01-10T01:15:07.023Z,,30,,40.3,18.5,,54
