Time,PrimTSet,HwTOutlet,HwActive,ChActive,PrimT,ActPow,HwTSet
2017-12-12T01:16:06.307Z,,41.9,,,,,54
2017-12-12T01:16:16.309Z,,41.9,,,56,,54
2017-12-12T01:16:26.315Z,,41.9,,,,,54
2017-12-12T01:16:36.308Z,,41.9,,,,,54
2017-12-12T01:16:46.309Z,,41.9,,,56.1,,54
2017-12-12T01:16:56.310Z,,41.9,,,,,54
2017-12-12T01:17:06.308Z,,41.9,,,,,54
2017-12-12T01:17:16.308Z,,41.9,,,,,54
2017-12-12T01:17:26.306Z,,41.9,,,56.2,,54
2017-12-12T01:17:36.309Z,,42,,,,,54
