Time,HwTSet,HwActive,ActPow,PrimT,PrimTSet,ChActive,HwTOutlet
2017-12-08T10:38:30.539Z,50,,,,,,39.5
2017-12-08T10:38:40.571Z,50,,,,,,39.4
2017-12-08T10:38:50.550Z,50,,,,,,39.4
2017-12-08T10:39:00.539Z,50,,,45.3,,,39.3
2017-12-08T10:39:10.568Z,50,0,41,47.8,,2,39.2
2017-12-08T10:39:20.597Z,50,,29,49.7,,,39.1
2017-12-08T10:39:30.573Z,50,,29,44.9,,,39.1
2017-12-08T10:39:40.540Z,50,,29,42.8,,,38.9
2017-12-08T10:39:50.539Z,50,,29,40.9,,,38.8
2017-12-08T10:40:00.539Z,50,,29,39.8,,,38.8
2017-12-08T10:40:10.540Z,50,,,39.6,,,38.7
2017-12-08T10:40:20.543Z,50,,30,40.1,,,38.6
2017-12-08T10:40:30.541Z,50,,,40.6,,,38.6
2017-12-08T10:40:40.539Z,50,,29,41,,,38.5
2017-12-08T10:40:50.544Z,50,,,41.1,,,38.4
2017-12-08T10:41:00.541Z,50,,,41.3,,,38.4
2017-12-08T10:41:10.559Z,50,,30,41.4,,,38.3
2017-12-08T10:41:20.540Z,50,,29,41.7,,,38.3
2017-12-08T10:41:30.545Z,50,,,42,,,38.2
2017-12-08T10:41:40.542Z,50,,30,42.2,,,38.2
2017-12-08T10:41:50.549Z,50,,29,42.4,,,38.1
2017-12-08T10:42:00.539Z,50,,,42.7,,,38
2017-12-08T10:42:10.540Z,50,,,43,,,38
2017-12-08T10:42:20.540Z,50,,30,43.1,,,37.9
2017-12-08T10:42:30.544Z,50,,,43.3,,,37.9
2017-12-08T10:42:40.539Z,50,,29,43.5,,,37.8
2017-12-08T10:42:50.539Z,50,,,43.6,,,37.7
2017-12-08T10:43:00.543Z,50,,30,43.8,,,37.7
2017-12-08T10:43:10.539Z,50,,29,44,,,37.6
2017-12-08T10:43:20.539Z,50,,,44.1,,,37.6
2017-12-08T10:43:30.542Z,50,,,44.3,,,37.5
2017-12-08T10:43:40.541Z,50,,,44.4,,,37.5
2017-12-08T10:43:50.539Z,50,,,44.5,,,37.4
2017-12-08T10:44:00.556Z,50,,30,44.6,,,37.4
2017-12-08T10:44:10.556Z,50,,29,44.7,,,37.3
2017-12-08T10:44:20.538Z,50,,0,44.9,,,37.3
2017-12-08T10:44:30.548Z,50,0,,42.7,,2,37.3
2017-12-08T10:44:40.546Z,50,,,40.8,,,37.2
2017-12-08T10:44:50.539Z,50,,,40.1,,,37.2
2017-12-08T10:45:00.539Z,50,,,39.9,,,37.1
2017-12-08T10:45:10.568Z,50,0,0,39.9,59,2,37.1
2017-12-08T10:45:20.573Z,50,,,,,,36.9
2017-12-08T10:45:30.543Z,50,,,,,,36.9
2017-12-08T10:45:40.585Z,50,,,,,,36.9
2017-12-08T10:45:50.539Z,50,,,39.7,,,36.8
2017-12-08T10:46:00.539Z,50,,,39.6,,,36.8
2017-12-08T10:46:10.542Z,50,,,39.5,,,36.7
2017-12-08T10:46:20.539Z,50,0,,39.3,5,0,36.7
2017-12-08T10:46:30.539Z,50,,,,,,36.6
2017-12-08T10:46:40.565Z,50,,,,,,36.6
2017-12-08T10:46:50.561Z,50,,,,,,36.6
2017-12-08T10:47:00.549Z,50,,,,,,36.5
