Time,HwTOutlet,HwTSet,PrimTSet,HwActive,PrimT,ChActive,ActPow
2018-01-01T01:20:12.738Z,23.2,50,,,,,
2018-01-01T01:20:22.738Z,23.2,50,,,,,
2018-01-01T01:20:32.738Z,23.2,50,,,,,
2018-01-01T01:20:42.737Z,23.2,50,,,,,
2018-01-01T01:20:52.737Z,23.2,50,,,,,
2018-01-01T01:21:02.738Z,23.2,50,,,,,
2018-01-01T01:21:12.737Z,23.2,50,,,,,
2018-01-01T01:21:22.738Z,23.2,50,,,,,
2018-01-01T01:21:42.738Z,23.2,50,,,,,
2018-01-01T01:21:52.738Z,23.2,50,,,29,,
2018-01-01T01:22:02.738Z,23.2,50,,,28.9,,
2018-01-01T01:22:12.738Z,23.2,50,,,28.9,,
2018-01-01T01:22:22.737Z,23.2,50,,,29,,
2018-01-01T01:22:32.923Z,23.2,50,,,28.9,,
2018-01-01T01:22:42.738Z,23.2,50,,,,,
2018-01-01T01:22:52.738Z,23.2,50,,,,,
2018-01-01T01:23:02.738Z,23.2,50,,,,,
2018-01-01T01:23:12.737Z,23.2,50,,,,,
2018-01-01T01:23:22.737Z,23.2,50,,,,,
2018-01-01T01:23:32.738Z,23.2,50,,,,,
2018-01-01T01:23:42.737Z,23.2,50,,,,,
2018-01-01T01:23:52.737Z,23.2,50,,,,,
2018-01-01T01:24:02.737Z,23.2,50,,,,,
2018-01-01T01:24:12.738Z,23.2,50,,,,,
2018-01-01T01:24:22.737Z,23.2,50,,,,,
2018-01-01T01:24:32.737Z,23.2,50,,,,,
2018-01-01T01:24:42.738Z,23.2,50,,,,,
2018-01-01T01:24:52.738Z,23.2,50,,,,,
2018-01-01T01:25:02.738Z,23.2,50,,,,,
2018-01-01T01:25:12.737Z,23.2,50,,,,,
2018-01-01T01:25:22.737Z,23.2,50,,,,,
2018-01-01T01:25:32.737Z,23.2,50,,,,,
2018-01-01T01:25:42.738Z,23.1,50,,,,,
2018-01-01T01:25:52.738Z,23.2,50,,,,,
2018-01-01T01:26:02.737Z,23.2,50,,,,,
2018-01-01T01:26:12.737Z,23.2,50,,,,,
2018-01-01T01:26:22.737Z,23.2,50,,,,,
2018-01-01T01:26:32.737Z,23.1,50,,,,,
2018-01-01T01:26:42.738Z,23.1,50,,,,,
