Time,HwActive,PrimT,ActPow,HwTSet,ChActive,HwTOutlet,PrimTSet
2018-02-10T01:17:58.634Z,,,,50,,33.4,
2018-02-10T01:18:18.652Z,,,,50,,33.4,
2018-02-10T01:18:28.634Z,,,,50,,33.3,
2018-02-10T01:18:38.666Z,,37.7,,,,,
2018-02-10T01:18:48.641Z,,,,50,,33.3,
2018-02-10T01:18:58.665Z,,,,50,,33.2,
2018-02-10T01:19:18.633Z,,,,50,,33.2,
2018-02-10T01:19:28.657Z,,,,50,,33.2,
2018-02-10T01:19:48.634Z,,,,50,,33.1,
2018-02-10T01:19:58.634Z,,,,50,,33.1,
2018-02-10T01:20:18.634Z,,37.6,,50,,32.9,
2018-02-10T01:20:28.634Z,,,,50,,32.9,
2018-02-10T01:20:38.635Z,0,39.4,42,50,2,32.9,
2018-02-10T01:20:48.635Z,,43.7,33,50,,32.8,
2018-02-10T01:20:58.634Z,,41.4,29,50,,32.8,
2018-02-10T01:21:08.634Z,,40.5,,50,,32.8,
2018-02-10T01:21:18.648Z,,38.2,29,,,,
2018-02-10T01:21:28.633Z,,37.7,30,50,,32.8,
2018-02-10T01:21:38.670Z,,37.6,29,50,,32.7,
2018-02-10T01:21:48.657Z,,38,30,50,,32.7,
2018-02-10T01:21:58.636Z,,,,50,,32.7,
2018-02-10T01:22:08.633Z,,38.7,29,,,,
2018-02-10T01:22:18.634Z,,38.9,,50,,32.7,
2018-02-10T01:22:28.672Z,,39.2,,,,,
2018-02-10T01:22:38.634Z,,39.3,,50,,32.6,
2018-02-10T01:22:48.633Z,,39.5,,50,,32.6,
2018-02-10T01:22:58.647Z,,,,50,,32.6,
2018-02-10T01:23:08.633Z,,39.9,,,,,
2018-02-10T01:23:18.633Z,,40.1,,50,,32.5,
2018-02-10T01:23:28.730Z,,40.3,,50,,32.5,
2018-02-10T01:23:38.634Z,,,,50,,32.5,
2018-02-10T01:23:48.633Z,,40.6,,50,,32.5,
2018-02-10T01:23:58.633Z,,40.8,30,,,,
2018-02-10T01:24:08.635Z,,40.9,29,50,,32.4,
2018-02-10T01:24:18.633Z,,41.1,,,,,
2018-02-10T01:24:28.636Z,,41.2,,50,,32.4,
2018-02-10T01:24:38.635Z,,,,50,,32.4,
2018-02-10T01:24:48.639Z,,41.5,30,50,,32.4,
2018-02-10T01:24:58.639Z,,41.6,,,,,
2018-02-10T01:25:08.633Z,,41.8,29,50,,32.4,
2018-02-10T01:25:18.634Z,,,,50,,32.3,
2018-02-10T01:25:28.634Z,,42,,,,,
2018-02-10T01:25:38.642Z,,42.2,30,50,,32.3,
2018-02-10T01:25:48.646Z,,42.3,,50,,32.3,
2018-02-10T01:25:58.652Z,,,,50,,32.3,
2018-02-10T01:26:08.649Z,,42.7,29,,,,
2018-02-10T01:26:18.634Z,,42.8,30,50,,32.3,
2018-02-10T01:26:28.633Z,,43,29,,,,
2018-02-10T01:26:38.642Z,,43.1,,50,,32.3,
2018-02-10T01:26:48.634Z,0,43,0,50,2,32.3,
2018-02-10T01:26:58.634Z,,40.6,,50,,32.3,
2018-02-10T01:27:08.633Z,,39.1,,50,,32.3,
2018-02-10T01:27:18.633Z,,38.4,,,,,
2018-02-10T01:27:28.633Z,,38.2,,50,,32.2,
2018-02-10T01:27:38.636Z,,,,50,,32.2,
2018-02-10T01:27:48.633Z,,,,50,,32.2,
2018-02-10T01:28:08.635Z,,38.1,,50,,32.2,
2018-02-10T01:28:18.633Z,,,,50,,32.2,
2018-02-10T01:28:28.633Z,,37.9,,,,,
2018-02-10T01:28:38.633Z,,37.8,,50,,32.2,
2018-02-10T01:28:48.633Z,,37.7,,50,,32.2,
2018-02-10T01:28:58.634Z,,,,50,,32.2,
