Time,HwTOutlet,HwTSet,ActPow,PrimTSet,ChActive,PrimT,HwActive
2017-11-19T01:01:03.463Z,28.6,52,,,,,
2017-11-19T01:01:13.382Z,,,30,,,37.5,
2017-11-19T01:01:23.382Z,28.6,52,,,,37.6,
2017-11-19T01:01:33.391Z,28.6,52,29,,,38,
2017-11-19T01:01:43.382Z,28.6,52,,,,38.1,
2017-11-19T01:01:53.382Z,28.6,52,,,,38.3,
2017-11-19T01:02:03.462Z,28.6,52,,,,,
2017-11-19T01:02:13.385Z,,,,,,38.4,
2017-11-19T01:02:23.385Z,28.6,52,,,,38.6,
2017-11-19T01:02:33.382Z,28.6,52,,,,39.1,
2017-11-19T01:02:43.382Z,28.6,52,,,,39.2,
2017-11-19T01:02:53.383Z,28.7,52,,,,39.4,
2017-11-19T01:03:03.465Z,28.6,52,,,,,
2017-11-19T01:03:13.386Z,,,,,,39.6,
2017-11-19T01:03:23.382Z,28.6,52,30,,,39.7,
2017-11-19T01:03:33.387Z,28.7,52,29,,,40,
2017-11-19T01:03:43.382Z,28.7,52,30,,,40.2,
2017-11-19T01:03:53.382Z,,,29,,,40.5,
2017-11-19T01:04:03.466Z,28.7,52,0,,1,40.6,0
2017-11-19T01:04:13.382Z,28.7,52,,,,38.8,
2017-11-19T01:04:23.387Z,,,,,,37.7,
2017-11-19T01:04:33.382Z,28.7,52,,,,35.9,
2017-11-19T01:04:43.382Z,,,,,,35.8,
2017-11-19T01:04:53.382Z,28.7,52,,,,35.7,
2017-11-19T01:05:03.466Z,28.7,52,,,,,
2017-11-19T01:05:13.382Z,,,,,,35.6,
2017-11-19T01:05:23.382Z,28.7,52,,,,,
2017-11-19T01:05:33.382Z,28.9,52,,,,35.6,
2017-11-19T01:05:43.387Z,28.9,52,,,,,
2017-11-19T01:05:53.382Z,,,,,,35.4,
2017-11-19T01:06:03.467Z,28.9,52,,,,,
2017-11-19T01:06:13.382Z,,,,,,35.3,
2017-11-19T01:06:23.382Z,28.9,52,,,,,
2017-11-19T01:06:33.385Z,28.9,52,,,,,
2017-11-19T01:06:43.382Z,28.9,52,,,,,
2017-11-19T01:06:53.389Z,28.9,52,,,,35.2,
2017-11-19T01:07:13.382Z,,,,,,35.1,
2017-11-19T01:07:23.382Z,28.9,52,,,,,
2017-11-19T01:07:33.382Z,29,52,,,,,
2017-11-19T01:07:43.383Z,29,52,,,,,
2017-11-19T01:08:03.472Z,29,52,,,,,
2017-11-19T01:08:23.383Z,29,52,,,,,
2017-11-19T01:08:33.419Z,29,52,,,,,
2017-11-19T01:08:43.382Z,29,52,,,,,
2017-11-19T01:09:03.462Z,29,52,,,,,
2017-11-19T01:09:23.381Z,29,52,,,,,
2017-11-19T01:09:33.382Z,29,52,,,,,
2017-11-19T01:09:43.382Z,29,52,,,,,
2017-11-19T01:10:03.462Z,29,52,,,,,
2017-11-19T01:10:23.382Z,29,52,,,,,
2017-11-19T01:10:33.383Z,29,52,,,,35.2,
2017-11-19T01:10:43.382Z,29,52,,,,,
2017-11-19T01:10:53.384Z,29,52,,,,,
2017-11-19T01:11:03.465Z,29,52,,,,,
2017-11-19T01:11:13.384Z,,,,,,35.3,
2017-11-19T01:11:23.382Z,29,52,,,,,
2017-11-19T01:11:33.387Z,29,52,,,,,
2017-11-19T01:11:43.382Z,29,52,,,,,
2017-11-19T01:11:53.382Z,,,,,,35.4,
2017-11-19T01:12:03.462Z,29,52,,,,,
2017-11-19T01:12:23.387Z,29.1,52,,,,,
2017-11-19T01:12:33.382Z,29,52,,,,35.5,
2017-11-19T01:12:43.382Z,29.1,52,,,,,
2017-11-19T01:13:03.463Z,29,52,,,,,
2017-11-19T01:13:23.382Z,29.1,52,,,,,
2017-11-19T01:13:33.386Z,29,52,,,,,
2017-11-19T01:13:43.382Z,29,52,,,,,
2017-11-19T01:14:03.462Z,29.1,52,,,,,
2017-11-19T01:14:23.382Z,29.1,52,,,,,
2017-11-19T01:14:33.382Z,29.1,52,,,,,
2017-11-19T01:14:43.382Z,29.1,52,,,,,
2017-11-19T01:14:53.384Z,29.1,52,,,,,
2017-11-19T01:15:03.462Z,29.1,52,,,,,
2017-11-19T01:15:23.384Z,29,52,,,,,
2017-11-19T01:15:33.382Z,29.1,52,,5,0,,0
2017-11-19T01:15:43.382Z,,,,58,1,,0
2017-11-19T01:15:53.381Z,29.1,52,,,,,
2017-11-19T01:16:03.462Z,29,52,,,,,
2017-11-19T01:16:23.383Z,29.1,52,,,,,
2017-11-19T01:16:33.382Z,29,52,,,,35.4,
2017-11-19T01:16:43.382Z,29,52,,5,0,,0
2017-11-19T01:16:53.382Z,29,52,,,,,
2017-11-19T01:17:03.461Z,29,52,,,,,
2017-11-19T01:17:23.381Z,29,52,,58,1,,0
2017-11-19T01:17:33.387Z,29,52,,5,0,,0
