Time,ActPow,HwTOutlet,HwTSet,PrimT,HwActive,ChActive,PrimTSet
2018-01-24T01:11:49.080Z,,28.5,50,37.6,,,
2018-01-24T01:11:59.082Z,,28.5,50,37.8,,,
2018-01-24T01:12:09.080Z,,28.5,50,38,,,
2018-01-24T01:12:19.080Z,,28.5,50,38.1,,,
2018-01-24T01:12:29.081Z,30,28.5,50,38.2,,,
2018-01-24T01:12:39.079Z,29,28.5,50,38.3,,,
2018-01-24T01:12:49.080Z,,28.5,50,38.5,,,
2018-01-24T01:12:59.080Z,30,28.5,50,38.7,,,
2018-01-24T01:13:09.080Z,,28.5,50,38.8,,,
2018-01-24T01:13:19.079Z,29,28.5,50,39.1,,,
2018-01-24T01:13:29.080Z,30,28.5,50,39.2,,,
2018-01-24T01:13:39.080Z,29,28.5,50,39.3,,,
2018-01-24T01:13:49.080Z,30,28.5,50,39.5,,,
2018-01-24T01:13:59.080Z,29,28.5,50,39.7,,,
2018-01-24T01:14:09.080Z,30,28.5,50,39.8,,,
2018-01-24T01:14:19.080Z,29,28.5,50,40,,,
2018-01-24T01:14:29.082Z,30,28.5,50,40.1,,,
2018-01-24T01:14:39.079Z,29,28.6,50,40.3,,,
2018-01-24T01:14:49.080Z,30,28.6,50,40.5,,,
2018-01-24T01:14:59.080Z,0,28.6,50,39.8,0,2,
2018-01-24T01:15:09.080Z,,28.6,50,37.9,,,
2018-01-24T01:15:19.080Z,,28.6,50,36.6,,,
2018-01-24T01:15:29.080Z,,28.6,50,35.9,,,
2018-01-24T01:15:39.079Z,,28.6,50,35.8,,,
2018-01-24T01:15:49.080Z,,28.6,50,,,,
2018-01-24T01:15:59.080Z,,28.6,50,,,,
2018-01-24T01:16:09.081Z,,28.6,50,35.7,,,
2018-01-24T01:16:19.079Z,,28.6,50,,,,
2018-01-24T01:16:29.081Z,,28.7,50,35.6,,,
2018-01-24T01:16:39.080Z,,28.7,50,35.5,,,
2018-01-24T01:16:49.079Z,,28.7,50,35.4,,,
2018-01-24T01:16:59.079Z,,28.7,50,,,,
2018-01-24T01:17:09.080Z,,28.7,50,,,,
2018-01-24T01:17:19.080Z,,28.7,50,,,,
2018-01-24T01:17:29.080Z,,28.7,50,35.3,,,
2018-01-24T01:17:39.079Z,,28.7,50,,,,
2018-01-24T01:17:49.080Z,,28.7,50,,,,
2018-01-24T01:17:59.079Z,,28.7,50,35.2,,,
2018-01-24T01:18:09.080Z,,28.7,50,,,,
2018-01-24T01:18:19.079Z,,28.7,50,,,,
2018-01-24T01:18:29.079Z,,28.7,50,,,,
2018-01-24T01:18:39.080Z,,28.7,50,,,,
2018-01-24T01:18:49.080Z,,28.7,50,,,,
2018-01-24T01:18:59.080Z,,28.7,50,,,,
