Time,HwActive,HwTSet,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet
2018-01-31T01:25:38.900Z,,50,,,,,28.6
2018-01-31T01:25:48.901Z,,50,,,,,28.6
2018-01-31T01:26:08.901Z,,50,,,,,28.6
2018-01-31T01:26:18.900Z,,50,,,,,28.6
2018-01-31T01:26:28.900Z,,50,,,,,28.6
2018-01-31T01:26:48.900Z,,50,,,,,28.6
2018-01-31T01:26:58.900Z,,50,,,,,28.6
2018-01-31T01:27:18.900Z,,50,,,,,28.6
2018-01-31T01:27:28.900Z,,50,,,,,28.6
2018-01-31T01:27:48.900Z,,50,,,,34.8,28.6
2018-01-31T01:27:58.902Z,,50,,,,,28.6
2018-01-31T01:28:18.901Z,,50,,,,,28.6
2018-01-31T01:28:28.900Z,,50,,,,,28.6
2018-01-31T01:28:48.900Z,,50,,,,,28.6
2018-01-31T01:28:58.901Z,,50,,,,,28.6
2018-01-31T01:29:18.900Z,,50,,,,34.7,28.6
2018-01-31T01:29:28.900Z,,50,,,,,28.6
2018-01-31T01:29:48.901Z,,50,,,,,28.6
2018-01-31T01:29:58.900Z,,50,,,,,28.6
2018-01-31T01:30:18.900Z,,50,,,,,28.6
2018-01-31T01:30:28.900Z,,50,,,,,28.6
2018-01-31T01:30:48.900Z,,50,,,,34.6,28.6
2018-01-31T01:30:58.900Z,,50,,,,,28.6
2018-01-31T01:31:18.934Z,,50,,,,,28.6
2018-01-31T01:31:28.900Z,,50,,,,,28.6
2018-01-31T01:31:48.901Z,,50,,,,,28.6
2018-01-31T01:31:58.900Z,,50,,,,,28.6
2018-01-31T01:32:18.900Z,,50,,,,,28.6
2018-01-31T01:32:28.900Z,,50,,,,,28.6
2018-01-31T01:32:38.900Z,,,,,,34.5,
2018-01-31T01:32:48.900Z,,50,,,,,28.5
2018-01-31T01:32:58.900Z,,50,,,,,28.5
2018-01-31T01:33:18.900Z,,50,,,,,28.6
2018-01-31T01:33:28.903Z,,50,,,,,28.5
2018-01-31T01:33:48.900Z,,50,,,,,28.5
2018-01-31T01:33:58.900Z,,50,,,,,28.5
2018-01-31T01:34:08.900Z,,,,,,34.4,
2018-01-31T01:34:18.900Z,,50,,,,,28.5
2018-01-31T01:34:28.900Z,,50,,,,,28.5
2018-01-31T01:34:48.900Z,,50,,,,,28.5
2018-01-31T01:34:58.900Z,,50,,,,,28.5
2018-01-31T01:35:18.900Z,,50,,,,,28.5
2018-01-31T01:35:28.900Z,,50,,,,,28.5
2018-01-31T01:35:38.902Z,,,,,,34.3,
2018-01-31T01:35:48.901Z,,50,,,,,28.5
2018-01-31T01:35:58.900Z,,50,,,,,28.5
2018-01-31T01:36:18.900Z,0,50,0,2,59,34.3,28.5
2018-01-31T01:36:28.900Z,,50,,,,,28.5
2018-01-31T01:36:48.901Z,,50,,,,,28.5
2018-01-31T01:36:58.900Z,,50,,,,,28.5
2018-01-31T01:37:18.900Z,,50,,,,,28.5
2018-01-31T01:37:28.900Z,,50,,,,,28.5
