Time,PrimT,HwTSet,ActPow,HwTOutlet,HwActive,ChActive,PrimTSet
2018-02-02T01:12:38.877Z,,50,,29.7,,,
2018-02-02T01:12:48.849Z,,50,,29.7,,,
2018-02-02T01:12:58.849Z,35.3,,,,,,
2018-02-02T01:13:08.849Z,,50,,29.7,,,
2018-02-02T01:13:18.849Z,,50,,29.7,,,
2018-02-02T01:13:38.853Z,,50,,29.7,,,
2018-02-02T01:13:48.850Z,,50,,29.7,,,
2018-02-02T01:14:08.849Z,,50,,29.7,,,
2018-02-02T01:14:18.852Z,,50,,29.7,,,
2018-02-02T01:14:38.849Z,,50,,29.7,,,
2018-02-02T01:14:48.853Z,,50,,29.7,,,
2018-02-02T01:14:58.849Z,35.2,,,,,,
2018-02-02T01:15:08.849Z,,50,,29.7,,,
2018-02-02T01:15:18.849Z,,50,,29.7,,,
2018-02-02T01:15:38.849Z,,50,,29.7,,,
2018-02-02T01:15:48.849Z,,50,,29.6,,,
2018-02-02T01:16:08.849Z,,50,,29.6,,,
2018-02-02T01:16:18.849Z,,50,,29.6,,,
2018-02-02T01:16:28.848Z,35.1,,,,,,
2018-02-02T01:16:38.849Z,,50,,29.6,,,
2018-02-02T01:16:48.849Z,,50,,29.6,,,
2018-02-02T01:17:08.849Z,,50,,29.6,,,
2018-02-02T01:17:18.849Z,,50,,29.6,,,
2018-02-02T01:17:38.850Z,,50,,29.6,,,
2018-02-02T01:17:48.849Z,37.5,50,41,29.6,0,2,
2018-02-02T01:17:58.849Z,41.2,50,32,29.6,,,
2018-02-02T01:18:08.849Z,39.4,50,29,29.6,,,
2018-02-02T01:18:18.849Z,37.7,50,29,29.6,,,
2018-02-02T01:18:28.849Z,35.4,50,30,29.6,,,
2018-02-02T01:18:38.849Z,34.6,50,29,29.6,,,
2018-02-02T01:18:48.849Z,34.5,,,,,,
2018-02-02T01:18:58.849Z,34.8,50,,29.6,,,
2018-02-02T01:19:08.849Z,35.3,,29,,,,
2018-02-02T01:19:18.849Z,35.6,50,,29.5,,,
2018-02-02T01:19:28.848Z,,50,,29.5,,,
2018-02-02T01:19:38.849Z,36,50,30,29.5,,,
2018-02-02T01:19:48.849Z,36.1,,29,,,,
2018-02-02T01:19:58.849Z,36.2,50,,29.5,,,
2018-02-02T01:20:08.849Z,,50,,29.5,,,
2018-02-02T01:20:18.848Z,36.7,,29,,,,
2018-02-02T01:20:28.849Z,36.9,50,30,29.5,,,
2018-02-02T01:20:38.868Z,37.2,50,29,29.5,,,
2018-02-02T01:20:48.849Z,37.3,,,,,,
2018-02-02T01:20:58.854Z,37.5,50,30,29.5,,,
2018-02-02T01:21:08.849Z,,50,,29.5,,,
2018-02-02T01:21:18.849Z,37.9,50,30,29.5,,,
2018-02-02T01:21:28.849Z,38,,30,,,,
2018-02-02T01:21:38.849Z,38.2,50,29,29.5,,,
2018-02-02T01:21:48.849Z,,50,,29.5,,,
2018-02-02T01:21:58.848Z,38.5,,29,,,,
2018-02-02T01:22:08.849Z,38.6,50,,29.5,,,
2018-02-02T01:22:18.849Z,,50,,29.5,,,
2018-02-02T01:22:28.850Z,38.9,50,,29.5,,,
2018-02-02T01:22:38.852Z,37.7,50,0,29.5,0,2,
2018-02-02T01:22:48.849Z,36,50,,29.5,,,
2018-02-02T01:22:58.849Z,34.7,,,,,,
2018-02-02T01:23:08.849Z,34.3,50,,29.5,,,
2018-02-02T01:23:18.848Z,34.2,50,,29.5,,,
2018-02-02T01:23:28.849Z,,50,,29.5,,,
2018-02-02T01:23:38.849Z,34.1,50,,29.5,,,
2018-02-02T01:23:58.849Z,,50,,29.6,,,
2018-02-02T01:24:08.849Z,,50,,29.6,,,
2018-02-02T01:24:18.855Z,33.9,,,,,,
2018-02-02T01:24:28.849Z,33.8,50,,29.5,,,
2018-02-02T01:24:38.849Z,,50,,29.5,,,
2018-02-02T01:24:48.849Z,,50,,29.5,,,
2018-02-02T01:25:08.849Z,,50,,29.6,,,
2018-02-02T01:25:18.849Z,,50,,29.6,,,
2018-02-02T01:25:28.849Z,33.7,,,,,,
2018-02-02T01:25:38.860Z,34,50,45,29.6,0,2,
2018-02-02T01:25:48.849Z,40.2,50,34,29.6,,,
2018-02-02T01:25:58.849Z,41.2,50,29,29.6,,,
2018-02-02T01:26:08.849Z,40,50,30,29.6,,,
2018-02-02T01:26:18.848Z,39.6,,29,,,,
2018-02-02T01:26:28.849Z,39.4,50,,29.6,,,
2018-02-02T01:26:38.850Z,39.2,50,,29.6,,,
2018-02-02T01:26:48.849Z,,50,,29.6,,,
2018-02-02T01:26:58.849Z,38.6,50,0,29.6,0,2,
2018-02-02T01:27:08.848Z,36.2,50,,29.6,,,
2018-02-02T01:27:18.849Z,35.2,50,,29.6,,,
2018-02-02T01:27:28.849Z,34.8,,,,,,
2018-02-02T01:27:38.851Z,34.7,50,,29.6,,,
2018-02-02T01:27:48.864Z,,50,,29.6,,,
2018-02-02T01:28:08.849Z,,50,,29.6,,,
2018-02-02T01:28:18.849Z,,50,,29.6,,,
2018-02-02T01:28:28.849Z,34.6,,,,,,
2018-02-02T01:28:38.849Z,34.5,50,,29.6,,,
2018-02-02T01:28:48.848Z,,50,,29.6,,,
2018-02-02T01:28:58.849Z,34.3,,,,,,
2018-02-02T01:29:08.848Z,,50,,29.6,,,
2018-02-02T01:29:18.848Z,,50,,29.6,,,
2018-02-02T01:29:28.848Z,34.2,,,,,,
2018-02-02T01:29:38.849Z,,50,,29.6,,,
2018-02-02T01:29:48.849Z,,50,,29.6,,,
2018-02-02T01:29:58.851Z,34.1,50,,29.6,,,
2018-02-02T01:30:18.849Z,,50,,29.6,,,
2018-02-02T01:30:28.866Z,,50,,29.6,,,
2018-02-02T01:30:38.849Z,,50,,29.6,,,
2018-02-02T01:30:48.849Z,34,,,,,,
2018-02-02T01:30:58.848Z,,50,,29.6,,,
2018-02-02T01:31:08.848Z,,50,,29.6,,,
2018-02-02T01:31:28.849Z,,50,,29.6,,,
2018-02-02T01:31:38.849Z,,50,,29.6,,,
2018-02-02T01:31:48.848Z,,50,,29.6,,,
2018-02-02T01:32:08.848Z,,50,,29.6,,,
2018-02-02T01:32:18.848Z,,50,,29.6,,,
2018-02-02T01:32:38.848Z,,50,,29.6,,,
2018-02-02T01:32:48.848Z,,50,,29.6,,,
2018-02-02T01:32:58.849Z,34.1,,,,,,
2018-02-02T01:33:08.848Z,,50,,29.6,,,
2018-02-02T01:33:18.849Z,,50,,29.6,,,
2018-02-02T01:33:38.849Z,,50,,29.6,,,
2018-02-02T01:33:48.848Z,,50,,29.6,,,
2018-02-02T01:34:08.848Z,34.2,50,,29.6,,,
2018-02-02T01:34:18.848Z,,50,,29.6,,,
2018-02-02T01:34:38.849Z,,50,,29.6,,,
2018-02-02T01:34:48.849Z,,50,,29.6,,,
2018-02-02T01:35:08.849Z,,50,,29.6,,,
2018-02-02T01:35:18.850Z,,50,,29.6,,,
2018-02-02T01:35:28.848Z,34.3,,,,,,
2018-02-02T01:35:38.848Z,,50,,29.6,,,
2018-02-02T01:35:48.848Z,,50,,29.6,,,
2018-02-02T01:36:08.848Z,,50,,29.6,,,
2018-02-02T01:36:18.852Z,,50,,29.6,,,
2018-02-02T01:36:38.848Z,,50,,29.5,,,
2018-02-02T01:36:48.848Z,,50,,29.5,,,
2018-02-02T01:37:08.849Z,,50,,29.5,,,
2018-02-02T01:37:18.848Z,,50,,29.5,,,
2018-02-02T01:37:38.849Z,,50,,29.5,,,
2018-02-02T01:37:48.848Z,,50,,29.5,,,
2018-02-02T01:38:08.848Z,,50,,29.5,,,
2018-02-02T01:38:18.848Z,,50,,29.5,,,
