Time,ChActive,HwTSet,HwActive,HwTOutlet,ActPow,PrimT,PrimTSet
2018-01-18T00:55:51.243Z,,50,,32.4,,,
2018-01-18T00:56:01.244Z,,50,,32.4,,,
2018-01-18T00:56:21.379Z,,50,,32.3,,,
2018-01-18T00:56:31.245Z,,50,,32.3,,,
2018-01-18T00:56:51.243Z,1,50,0,32.3,,,59
2018-01-18T00:57:01.255Z,1,50,0,32.2,37,43,
2018-01-18T00:57:11.243Z,,50,,32.2,29,41.2,
2018-01-18T00:57:21.324Z,,50,,32.2,29,37.7,
2018-01-18T00:57:31.308Z,,50,,32.2,,34.5,
2018-01-18T00:57:41.243Z,,50,,32.1,30,32.4,
2018-01-18T00:57:51.289Z,,50,,32.1,,,
2018-01-18T00:58:01.274Z,,50,,32.1,29,32,
2018-01-18T00:58:11.244Z,,,,,30,32.8,
2018-01-18T00:58:21.324Z,,50,,32.1,29,33.2,
2018-01-18T00:58:31.243Z,,50,,32,,33.4,
2018-01-18T00:58:41.243Z,,50,,32,,,
2018-01-18T00:58:51.243Z,,,,,,33.9,
2018-01-18T00:59:01.244Z,,50,,32,,34,
2018-01-18T00:59:11.243Z,,50,,31.9,,34.2,
2018-01-18T00:59:21.324Z,,50,,31.9,,,
2018-01-18T00:59:31.243Z,,,,,,34.7,
2018-01-18T00:59:41.243Z,,50,,31.9,30,34.9,
2018-01-18T00:59:51.244Z,,,,,30,35.3,
2018-01-18T01:00:01.244Z,,50,,31.8,29,35.5,
2018-01-18T01:00:11.245Z,,50,,31.8,30,35.9,
2018-01-18T01:00:21.323Z,,,,,29,36.1,
2018-01-18T01:00:31.244Z,,50,,31.8,,36.3,
2018-01-18T01:00:41.244Z,,50,,31.6,,,
2018-01-18T01:00:51.243Z,,,,,30,36.6,
2018-01-18T01:01:01.244Z,,50,,31.6,29,36.8,
2018-01-18T01:01:11.244Z,,50,,31.6,29,37.3,
2018-01-18T01:01:21.324Z,,50,,31.6,,37.5,
2018-01-18T01:01:31.243Z,,50,,31.6,,,
2018-01-18T01:01:41.246Z,,,,,,37.6,
2018-01-18T01:01:51.248Z,,50,,31.5,,,
2018-01-18T01:02:01.249Z,,50,,31.5,,37.7,
2018-01-18T01:02:11.245Z,,,,,30,38,
2018-01-18T01:02:21.323Z,,50,,31.5,,,
2018-01-18T01:02:31.249Z,,50,,31.5,29,38.1,
2018-01-18T01:02:41.243Z,,,,,,38.4,
2018-01-18T01:02:51.244Z,,50,,31.4,,,
2018-01-18T01:03:01.244Z,,50,,31.4,,38.7,
2018-01-18T01:03:11.243Z,,,,,30,39.2,
2018-01-18T01:03:21.324Z,,50,,31.4,,39.6,
2018-01-18T01:03:31.243Z,,50,,31.4,,,
2018-01-18T01:03:41.244Z,,,,,29,39.6,
2018-01-18T01:03:51.244Z,,50,,31.4,,,
2018-01-18T01:04:01.243Z,,50,,31.4,,39.7,
2018-01-18T01:04:11.248Z,,,,,29,40,
2018-01-18T01:04:21.323Z,,50,,31.3,,40.2,
2018-01-18T01:04:31.243Z,,50,,31.3,,,
2018-01-18T01:04:41.249Z,,50,,31.3,,40.4,
2018-01-18T01:04:51.243Z,,,,,,40.7,
2018-01-18T01:05:01.244Z,,50,,31.3,,,
2018-01-18T01:05:11.243Z,,50,,31.3,,40.9,
2018-01-18T01:05:21.323Z,,,,,,41.1,
2018-01-18T01:05:31.245Z,,50,,31.3,30,41.2,
2018-01-18T01:05:51.250Z,,50,,31.3,29,41.6,
2018-01-18T01:06:01.243Z,,50,,31.3,,41.9,
2018-01-18T01:06:11.243Z,,50,,31.3,,42,
2018-01-18T01:06:26.304Z,,50,,31.2,,,
2018-01-18T01:06:31.248Z,,,,,30,42.1,
2018-01-18T01:06:41.248Z,,50,,31.2,30,42.3,
2018-01-18T01:06:51.243Z,,50,,31.2,,,
2018-01-18T01:07:01.246Z,,,,,29,42.4,
2018-01-18T01:07:11.243Z,,50,,31.2,29,42.8,
2018-01-18T01:07:21.324Z,,50,,31.2,,,
2018-01-18T01:07:31.244Z,,,,,,43.1,
2018-01-18T01:07:41.249Z,,50,,31.2,,,
2018-01-18T01:07:51.244Z,,,,,,43.2,
2018-01-18T01:08:01.243Z,,50,,31.2,,43.3,
2018-01-18T01:08:11.245Z,,50,,31.2,,44,
2018-01-18T01:08:21.325Z,,50,,31.2,29,43.9,
2018-01-18T01:08:31.243Z,,50,,31.2,,,
2018-01-18T01:08:41.243Z,,,,,,44.1,
2018-01-18T01:08:51.243Z,,50,,31.2,,,
2018-01-18T01:09:01.243Z,1,,0,,30,44.2,59
2018-01-18T01:09:11.247Z,,50,,31.2,29,44.5,
2018-01-18T01:09:21.323Z,,50,,31.2,,,
