Time,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,ActPow,HwTSet
2018-01-08T01:08:22.525Z,,,,42.1,30.4,30,50
2018-01-08T01:08:32.525Z,,,,42.2,30.4,29,50
2018-01-08T01:08:42.525Z,,,,42.3,30.4,,50
2018-01-08T01:08:52.525Z,,,,42.6,30.4,,50
2018-01-08T01:09:02.529Z,,,,42.7,30.4,,50
2018-01-08T01:09:12.526Z,,,,43,30.4,30,50
2018-01-08T01:09:22.529Z,,,,,30.4,,50
2018-01-08T01:09:32.529Z,,,,43.2,30.4,29,50
2018-01-08T01:09:42.525Z,,,,43.3,30.4,,50
2018-01-08T01:09:52.526Z,,,,43.4,30.4,,50
2018-01-08T01:10:02.525Z,,,,43.6,30.6,,50
2018-01-08T01:10:12.525Z,,,,43.7,30.4,,50
2018-01-08T01:10:22.530Z,,,,44,30.6,,50
2018-01-08T01:10:32.526Z,,,,,30.6,,50
2018-01-08T01:10:42.525Z,,,,44.1,30.6,30,50
2018-01-08T01:10:52.525Z,,,,44.3,30.6,29,50
2018-01-08T01:11:02.525Z,,,,44.4,30.6,,50
2018-01-08T01:11:12.525Z,,,,44.5,30.6,,50
2018-01-08T01:11:22.525Z,,,,44.7,30.6,,50
2018-01-08T01:11:32.530Z,,,,44.8,30.6,,50
2018-01-08T01:11:42.526Z,,,,45,30.6,,50
2018-01-08T01:11:52.525Z,,,,45.1,30.6,,50
2018-01-08T01:12:02.525Z,,,,45.2,30.7,,50
2018-01-08T01:12:12.528Z,,,,45.3,30.7,,50
2018-01-08T01:12:22.528Z,,,,45.5,30.7,30,50
2018-01-08T01:12:32.526Z,,,,45.6,30.7,,50
2018-01-08T01:12:42.525Z,1,0,,44.7,30.7,0,50
2018-01-08T01:12:52.527Z,,,,42.8,30.7,,50
2018-01-08T01:13:02.525Z,,,,41.9,30.7,,50
2018-01-08T01:13:12.530Z,,,,40.9,30.7,,50
2018-01-08T01:13:22.526Z,,,,40.8,30.8,,50
2018-01-08T01:13:32.529Z,,,,40.7,30.8,,50
2018-01-08T01:13:42.529Z,,,,,30.8,,50
2018-01-08T01:13:52.525Z,,,,,30.8,,50
2018-01-08T01:14:02.526Z,,,,,30.8,,50
2018-01-08T01:14:12.543Z,,,,40.6,30.8,,50
2018-01-08T01:14:22.525Z,,,,40.4,30.8,,50
2018-01-08T01:14:32.541Z,,,,40.3,30.8,,50
2018-01-08T01:14:42.525Z,,,,40.2,30.9,,50
2018-01-08T01:14:52.525Z,,,,40.1,30.9,,50
2018-01-08T01:15:02.529Z,,,,,30.9,,50
2018-01-08T01:15:12.525Z,,,,,30.9,,50
2018-01-08T01:15:22.525Z,,,,,30.9,,50
2018-01-08T01:15:32.526Z,,,,39.9,30.9,,50
2018-01-08T01:15:42.540Z,,,,39.8,30.9,,50
2018-01-08T01:15:52.526Z,0,2,0,39.9,30.9,,50
2018-01-08T01:16:07.640Z,,,,42,39.3,41,50
2018-01-08T01:16:12.554Z,,,,43.1,41.3,47,50
2018-01-08T01:16:22.525Z,0,0,,43.9,43.1,0,50
2018-01-08T01:16:32.529Z,,,,43.8,43.8,,50
2018-01-08T01:16:42.536Z,,,,43.7,43.7,,50
2018-01-08T01:16:52.525Z,,,,43.6,43.6,,50
2018-01-08T01:17:02.525Z,,,,,43.4,,50
2018-01-08T01:17:12.526Z,,,,,43.3,,50
2018-01-08T01:17:22.525Z,1,0,59,,43.2,,50
2018-01-08T01:17:32.525Z,,,,,43.1,,50
2018-01-08T01:17:42.525Z,,,,,43,,50
2018-01-08T01:17:52.554Z,,,,43.5,42.8,,50
2018-01-08T01:18:02.593Z,,,,,42.7,,50
2018-01-08T01:18:12.525Z,,,,,42.6,,50
2018-01-08T01:18:22.564Z,,,,,42.5,,50
2018-01-08T01:18:32.560Z,0,2,0,43.1,42.4,,50
2018-01-08T01:18:42.525Z,,,,44,43.6,29,50
2018-01-08T01:18:52.526Z,0,0,,42.8,44.2,0,50
2018-01-08T01:19:02.525Z,0,2,,42.2,44.2,,50
2018-01-08T01:19:12.531Z,0,0,,41.8,41.5,0,50
2018-01-08T01:19:22.525Z,,,,41.6,42,,50
2018-01-08T01:19:32.526Z,,,,41.5,41.8,,50
2018-01-08T01:19:42.525Z,0,2,,41.4,41.7,,50
2018-01-08T01:19:52.525Z,,,,42.1,40.9,41,50
2018-01-08T01:20:02.525Z,0,0,,43.5,41.9,0,50
2018-01-08T01:20:12.525Z,,,,42.6,42.8,,50
2018-01-08T01:20:22.525Z,,,,42.4,42.7,,50
2018-01-08T01:20:32.528Z,,,,,42.6,,50
2018-01-08T01:20:42.525Z,,,,,42.5,,50
