Time,HwActive,ActPow,HwTSet,PrimTSet,HwTOutlet,PrimT,ChActive
2018-02-04T01:19:58.796Z,,,50,,30.9,37.6,
2018-02-04T01:20:08.796Z,,,50,,30.9,,
2018-02-04T01:20:28.796Z,,,50,,30.8,,
2018-02-04T01:20:38.796Z,,,50,,30.8,,
2018-02-04T01:20:58.796Z,,,50,,30.8,,
2018-02-04T01:21:08.796Z,,,50,,30.8,,
2018-02-04T01:21:18.796Z,,,,,,37.5,
2018-02-04T01:21:28.796Z,,,50,,30.8,,
2018-02-04T01:21:38.796Z,,,50,,30.8,,
2018-02-04T01:21:58.796Z,,,50,,30.8,,
2018-02-04T01:22:08.796Z,,,50,,30.8,,
2018-02-04T01:22:28.796Z,,,50,,30.7,37.4,
2018-02-04T01:22:38.796Z,,,50,,30.7,,
2018-02-04T01:22:58.796Z,,,50,,30.7,,
2018-02-04T01:23:08.796Z,,,50,,30.7,,
2018-02-04T01:23:28.796Z,,,50,,30.7,,
2018-02-04T01:23:38.796Z,,,50,,30.7,,
2018-02-04T01:23:58.796Z,,,50,,30.7,37.3,
2018-02-04T01:24:08.862Z,,,50,,30.6,,
2018-02-04T01:24:28.796Z,,,50,,30.6,,
2018-02-04T01:24:38.796Z,,,50,,30.6,,
2018-02-04T01:24:58.813Z,,,50,,30.6,,
2018-02-04T01:25:08.796Z,,,50,,30.6,,
2018-02-04T01:25:18.796Z,0,44,50,,30.6,38.2,2
2018-02-04T01:25:28.796Z,,38,50,,30.6,42,
2018-02-04T01:25:38.796Z,,30,50,,30.6,41.5,
2018-02-04T01:25:48.796Z,,0,50,,30.6,38.5,
2018-02-04T01:25:58.806Z,0,,50,,30.6,34.7,2
2018-02-04T01:26:08.796Z,,,50,,30.6,31.7,
2018-02-04T01:26:18.796Z,,,50,,30.4,30.7,
2018-02-04T01:26:28.796Z,,,,,,30.4,
2018-02-04T01:26:38.796Z,,,50,,30.4,30.6,
2018-02-04T01:26:48.796Z,,,50,,30.4,30.9,
2018-02-04T01:26:58.796Z,,,50,,30.4,31.2,
2018-02-04T01:27:08.796Z,,,,,,31.3,
2018-02-04T01:27:18.796Z,,,50,,30.4,,
2018-02-04T01:27:28.796Z,,,50,,30.4,,
2018-02-04T01:27:38.796Z,,,50,,30.4,31.1,
2018-02-04T01:27:48.796Z,,,,,,30.8,
2018-02-04T01:27:58.796Z,,,50,,30.4,,
2018-02-04T01:28:08.796Z,,,50,,30.3,,
2018-02-04T01:28:18.796Z,,,,,,30.9,
2018-02-04T01:28:28.796Z,,,50,,30.3,,
2018-02-04T01:28:38.796Z,,,50,,30.3,,
2018-02-04T01:28:48.796Z,,,50,,30.3,,
2018-02-04T01:28:58.796Z,,,50,,30.3,,
2018-02-04T01:29:18.796Z,,,50,,30.3,,
2018-02-04T01:29:28.796Z,,,50,,30.3,,
2018-02-04T01:29:48.796Z,,,50,,30.2,,
2018-02-04T01:29:58.796Z,,,50,,30.2,,
2018-02-04T01:30:08.796Z,,,50,,30.2,,
2018-02-04T01:30:28.796Z,,,50,,30.2,,
2018-02-04T01:30:38.796Z,,,50,,30.2,,
2018-02-04T01:30:58.796Z,,,50,,30.2,,
2018-02-04T01:31:08.796Z,,,50,,30.2,,
2018-02-04T01:31:28.796Z,,,50,,30.1,30.9,
2018-02-04T01:31:38.795Z,,,,,,31.1,
2018-02-04T01:31:48.796Z,,,50,,30.1,,
2018-02-04T01:31:58.796Z,,,50,,30.1,31.2,
2018-02-04T01:32:08.796Z,,,50,,30.1,,
2018-02-04T01:32:18.796Z,,,,,,31.4,
2018-02-04T01:32:28.795Z,,,50,,30.1,,
2018-02-04T01:32:38.796Z,,,50,,30.1,,
2018-02-04T01:32:48.798Z,,,,,,31.6,
