Time,HwTSet,PrimTSet,HwActive,ChActive,PrimT,ActPow,HwTOutlet
2017-11-20T01:10:33.348Z,52,,,,,,34.5
2017-11-20T01:10:43.346Z,52,,,,37.2,,34.4
2017-11-20T01:11:03.490Z,52,,,,37.1,,34.4
2017-11-20T01:11:13.346Z,52,,,,36.9,,34.3
2017-11-20T01:11:33.345Z,52,,,,,,34.2
2017-11-20T01:11:43.345Z,52,,,,,,34.2
2017-11-20T01:11:53.346Z,,,,,36.8,,
2017-11-20T01:12:03.465Z,52,,,,,,34.1
2017-11-20T01:12:13.345Z,52,,,,36.7,,34
2017-11-20T01:12:23.345Z,52,,,,36.6,,34
2017-11-20T01:12:33.345Z,52,,,,,,33.9
2017-11-20T01:12:43.346Z,52,,,,,,33.9
2017-11-20T01:12:53.381Z,,,,,36.5,,
2017-11-20T01:13:03.470Z,52,,,,,,33.8
2017-11-20T01:13:13.365Z,52,,,,36.4,,33.7
2017-11-20T01:13:23.351Z,52,,,,,,33.7
2017-11-20T01:13:33.345Z,,,,,36.3,,
2017-11-20T01:13:43.345Z,52,,,,,,33.6
2017-11-20T01:14:03.425Z,52,,,,,,33.6
2017-11-20T01:14:13.345Z,52,,,,36.2,,33.5
2017-11-20T01:14:23.346Z,52,,,,,,33.5
2017-11-20T01:14:33.429Z,,,,,36.1,,
2017-11-20T01:14:43.474Z,52,,,,36,,33.4
2017-11-20T01:14:53.507Z,52,,,,,,33.3
2017-11-20T01:15:13.453Z,52,,,,35.9,,33.3
2017-11-20T01:15:23.346Z,52,,,,,,33.2
2017-11-20T01:15:33.345Z,52,,,,,,33.2
2017-11-20T01:15:43.345Z,,,,,35.8,,
2017-11-20T01:15:53.346Z,52,,,,,,33.1
2017-11-20T01:16:13.346Z,52,,,,35.7,,32.9
2017-11-20T01:16:23.346Z,52,,,,,,32.9
2017-11-20T01:16:33.345Z,52,,,,,,32.9
2017-11-20T01:16:43.345Z,52,,,,,,32.8
2017-11-20T01:17:03.425Z,52,,,,,,32.8
2017-11-20T01:17:13.345Z,52,,,,35.6,,32.7
2017-11-20T01:17:23.346Z,52,,,,35.5,,32.7
2017-11-20T01:17:33.345Z,52,,,,,,32.6
2017-11-20T01:17:43.348Z,52,,,,,,32.6
2017-11-20T01:18:03.425Z,52,,,,,,32.6
2017-11-20T01:18:13.360Z,52,,,,35.4,,32.5
