Time,ActPow,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,HwTSet
2017-11-21T02:05:11.309Z,,,,,,23.7,52
2017-11-21T02:05:21.310Z,,,,,,23.7,52
2017-11-21T02:05:51.310Z,,,,,,23.7,52
2017-11-21T02:06:11.311Z,,,,,,23.7,52
2017-11-21T02:06:21.309Z,,,,,,23.7,52
2017-11-21T02:06:51.309Z,,,,,,23.7,52
2017-11-21T02:07:01.310Z,,,,,,23.7,52
2017-11-21T02:07:21.349Z,,,,,,23.7,52
2017-11-21T02:07:51.309Z,,,,,,23.7,52
2017-11-21T02:08:11.310Z,,,,,,23.7,52
2017-11-21T02:08:21.309Z,,,,,,23.7,52
2017-11-21T02:08:51.313Z,,,,,,23.7,52
2017-11-21T02:09:01.309Z,,,,,,23.7,52
2017-11-21T02:09:21.312Z,,,,,,23.7,52
2017-11-21T02:09:51.317Z,,,,,,23.7,52
2017-11-21T02:10:01.311Z,,,,,,23.7,52
2017-11-21T02:10:21.311Z,,,,,,23.7,52
2017-11-21T02:10:51.311Z,,,,,,23.7,52
2017-11-21T02:11:11.312Z,,,,,,23.7,52
2017-11-21T02:11:21.312Z,,,,,,23.7,52
