Time,HwTSet,HwActive,ChActive,PrimTSet,ActPow,HwTOutlet,PrimT
2018-01-13T01:15:01.381Z,50,,,,,28,40.5
2018-01-13T01:15:11.382Z,50,0,2,,0,28,40.6
2018-01-13T01:15:21.381Z,50,,,,,28,37.9
2018-01-13T01:15:31.384Z,50,,,,,28.1,36.5
2018-01-13T01:15:41.382Z,50,,,,,28.1,35.8
2018-01-13T01:15:51.381Z,50,,,,,28.1,35.7
2018-01-13T01:16:01.381Z,50,,,,,28.1,
2018-01-13T01:16:11.381Z,50,,,,,28.1,35.6
2018-01-13T01:16:21.381Z,50,,,,,28.1,
2018-01-13T01:16:31.381Z,50,,,,,28.1,
2018-01-13T01:16:41.381Z,50,,,,,28.1,35.5
2018-01-13T01:16:51.381Z,50,,,,,28.3,35.4
2018-01-13T01:17:01.382Z,50,,,,,28.3,35.3
2018-01-13T01:17:11.381Z,50,,,,,28.3,
2018-01-13T01:17:21.381Z,50,,,,,28.3,
2018-01-13T01:17:31.380Z,50,,,,,28.3,
2018-01-13T01:17:41.382Z,50,,,,,28.3,
2018-01-13T01:17:51.382Z,50,,,,,28.3,35.2
2018-01-13T01:18:01.381Z,50,,,,,28.4,
2018-01-13T01:18:11.381Z,50,,,,,28.4,35.1
2018-01-13T01:18:21.381Z,50,,,,,28.4,
