Time,HwTSet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTOutlet
2017-12-05T01:28:48.821Z,50,,,,,,31.3
2017-12-05T01:28:58.821Z,50,,,,,,31.3
2017-12-05T01:29:08.825Z,50,,,,,,31.3
2017-12-05T01:29:28.824Z,50,,,,,,31.3
2017-12-05T01:29:38.824Z,50,,,,,,31.4
2017-12-05T01:29:48.821Z,,,,,,38,
2017-12-05T01:29:58.825Z,50,,,,,,31.4
2017-12-05T01:30:08.824Z,50,,,,,,31.3
2017-12-05T01:30:28.821Z,50,,,,,,31.4
2017-12-05T01:30:38.824Z,50,,,,,,31.3
2017-12-05T01:30:48.821Z,50,,,,,38,31.3
2017-12-05T01:30:58.825Z,50,,,,,38,31.3
2017-12-05T01:31:08.823Z,,,,,,37.9,
2017-12-05T01:31:18.821Z,50,,,,,,31.3
2017-12-05T01:31:28.821Z,50,,,,,,31.3
2017-12-05T01:31:48.820Z,50,,,,,,31.4
2017-12-05T01:31:58.825Z,50,,,,,,31.4
2017-12-05T01:32:08.821Z,50,,,,,,31.3
2017-12-05T01:32:28.820Z,50,,,,,37.8,31.3
2017-12-05T01:32:38.824Z,50,,,,,,31.3
2017-12-05T01:32:58.826Z,50,,,,,,31.4
2017-12-05T01:33:08.825Z,50,,,,,,31.3
2017-12-05T01:33:28.820Z,50,,,,,,31.3
2017-12-05T01:33:38.823Z,50,,,,,,31.4
2017-12-05T01:33:48.821Z,,,,,,37.7,
2017-12-05T01:33:58.823Z,50,,,,,,31.3
2017-12-05T01:34:08.824Z,50,,,,,,31.4
2017-12-05T01:34:28.825Z,50,,,,,,31.3
2017-12-05T01:34:38.827Z,50,,,,,,31.3
2017-12-05T01:34:58.865Z,50,,,,,,31.3
2017-12-05T01:35:08.823Z,50,,,,,,31.3
2017-12-05T01:35:18.820Z,,,,,,37.6,
2017-12-05T01:35:28.849Z,50,,,,,,31.3
2017-12-05T01:35:38.829Z,50,,,,,,31.3
2017-12-05T01:35:58.820Z,50,,,,,,31.3
2017-12-05T01:36:08.821Z,50,,,,,,31.3
2017-12-05T01:36:28.824Z,50,,,,,,31.3
2017-12-05T01:36:38.820Z,50,,,,,,31.3
2017-12-05T01:36:58.820Z,50,,,,,37.5,31.3
2017-12-05T01:37:08.820Z,50,,,,,,31.3
2017-12-05T01:37:28.820Z,50,,,,,,31.3
2017-12-05T01:37:38.821Z,50,,,,,,31.3
2017-12-05T01:37:58.821Z,50,,,,,,31.3
2017-12-05T01:38:08.820Z,50,,,,,,31.3
2017-12-05T01:38:28.821Z,50,,,,,,31.3
2017-12-05T01:38:38.824Z,50,,,,,,31.3
2017-12-05T01:38:48.820Z,,,,,,37.4,
2017-12-05T01:38:58.821Z,50,,,,,,31.3
2017-12-05T01:39:08.822Z,50,,,,,,31.3
2017-12-05T01:39:28.825Z,50,,,,,,31.3
2017-12-05T01:39:38.822Z,50,,,,,,31.3
2017-12-05T01:39:58.821Z,50,,,,,,31.3
2017-12-05T01:40:08.822Z,50,,,,,,31.3
2017-12-05T01:40:28.824Z,50,,,,,,31.3
2017-12-05T01:40:38.824Z,50,,,,,,31.3
2017-12-05T01:40:48.822Z,,,,,,37.3,
2017-12-05T01:40:58.825Z,50,,,,,,31.3
2017-12-05T01:41:08.821Z,50,,,,,,31.3
2017-12-05T01:41:28.823Z,50,,,,,,31.3
2017-12-05T01:41:38.821Z,50,,,,,,31.3
2017-12-05T01:41:58.821Z,50,,,,,,31.3
2017-12-05T01:42:08.825Z,50,,,,,,31.3
2017-12-05T01:42:28.824Z,50,,,,,,31.2
2017-12-05T01:42:38.820Z,50,,,,,,31.2
2017-12-05T01:42:48.825Z,,,,,,37.2,
