Time,ActPow,ChActive,PrimTSet,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-08T01:22:28.697Z,,,,,50,36.9,41.9
2018-02-08T01:22:38.689Z,,,,,,,42.3
2018-02-08T01:22:48.689Z,,,,,50,36.9,42.6
2018-02-08T01:22:58.689Z,,,,,50,36.9,
2018-02-08T01:23:08.689Z,30,0,0,2,50,34.6,43
2018-02-08T01:23:18.704Z,0,0,,0,50,35.3,42.6
2018-02-08T01:23:28.696Z,,,,,50,35.5,42.8
2018-02-08T01:23:38.689Z,,,,,,,42.7
2018-02-08T01:23:48.689Z,,,,,50,35.5,
2018-02-08T01:23:58.690Z,,,,,50,35.4,
2018-02-08T01:24:08.689Z,,,,,50,35.3,
2018-02-08T01:24:18.690Z,44,1,59,0,50,35.3,43.7
2018-02-08T01:24:28.703Z,0,0,0,0,50,30.7,46.3
2018-02-08T01:24:38.690Z,,0,,0,50,29.2,43.8
2018-02-08T01:24:48.689Z,,,,,,,43.1
2018-02-08T01:24:58.722Z,,,,,50,29.2,
2018-02-08T01:25:08.729Z,,,,,,,43
2018-02-08T01:25:18.725Z,,,,,50,29.3,
2018-02-08T01:25:28.692Z,,1,59,0,50,29.3,
2018-02-08T01:25:38.690Z,42,1,,0,50,29.5,44.9
2018-02-08T01:25:48.689Z,31,,,,50,29.5,48.3
2018-02-08T01:25:58.718Z,29,,,,50,29.5,45
2018-02-08T01:26:08.689Z,30,,,,,,43.8
2018-02-08T01:26:18.689Z,29,,,,50,29.6,42.7
2018-02-08T01:26:28.689Z,30,,,,50,29.7,42.3
2018-02-08T01:26:38.689Z,,,,,50,29.8,
2018-02-08T01:26:48.689Z,29,,,,,,42.9
2018-02-08T01:26:58.689Z,,,,,50,29.8,43.2
2018-02-08T01:27:08.690Z,30,,,,50,30,43.4
2018-02-08T01:27:18.711Z,,,,,50,30,
2018-02-08T01:27:28.689Z,29,,,,50,30.1,43.6
2018-02-08T01:27:38.689Z,30,,,,,,43.7
2018-02-08T01:27:48.689Z,,,,,50,30.1,43.8
2018-02-08T01:27:58.689Z,29,,,,,,44
2018-02-08T01:28:08.689Z,,,,,50,30.2,44.2
2018-02-08T01:28:18.689Z,,,,,50,30.2,
2018-02-08T01:28:28.718Z,29,,,,50,30.3,44.5
2018-02-08T01:28:38.689Z,,,,,,,44.7
2018-02-08T01:28:48.690Z,30,,,,50,30.3,44.8
2018-02-08T01:28:58.689Z,29,,,,50,30.4,45
2018-02-08T01:29:08.689Z,30,,,,,,45.1
2018-02-08T01:29:18.694Z,,,,,50,30.4,45.2
2018-02-08T01:29:28.689Z,29,,,,50,30.6,45.4
2018-02-08T01:29:38.689Z,,,,,50,30.6,
2018-02-08T01:29:48.690Z,,1,,0,50,30.6,45.5
2018-02-08T01:29:58.690Z,,1,,0,50,30.6,43.3
2018-02-08T01:30:08.691Z,,,,,,,41.5
2018-02-08T01:30:18.752Z,,,,,50,30.7,40.9
2018-02-08T01:30:28.745Z,,,,,50,30.7,40.7
2018-02-08T01:30:48.690Z,,,,,50,30.8,
2018-02-08T01:30:58.716Z,,,,,50,30.8,
2018-02-08T01:31:18.692Z,,,,,50,30.8,40.6
2018-02-08T01:31:28.690Z,,,,,50,30.9,40.4
2018-02-08T01:31:38.689Z,,,,,50,30.9,
2018-02-08T01:31:48.689Z,,,,,,,40.2
